R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,01/31/2020,neutral,15204,159,Columbus St.,9,True,7,10,-3,loss,1829559,608,2123289,2020
1,4,1,0,0,4,1,2,0,0,0,0,2,0,0,0,0,0,02/01/2020,neutral,15204,15646,Barton,9,True,6,7,-1,loss,1829638,608,2123289,2020
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,02/02/2020,neutral,15204,1001,Catawba,9,True,3,12,-9,loss,1829714,608,2123289,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2020,away,15204,30013,Lee,9,True,1,2,-1,loss,1849455,608,2123289,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2020,away,15204,30013,Lee,9,True,1,5,-4,loss,1830055,608,2123289,2020
1,4,2,2,0,4,0,0,0,0,0,0,1,0,0,0,1,0,02/14/2020,home,15204,561,Quincy,9,True,4,5,-1,loss,1965728,608,2123289,2020
2,4,2,0,0,8,2,4,0,0,0,0,2,0,0,0,0,0,02/14/2020,home,15204,561,Quincy,9,True,12,1,11,win,1965888,608,2123289,2020
1,3,1,0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,02/15/2020,home,15204,561,Quincy,9,True,3,11,-8,loss,1966047,608,2123289,2020
0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,02/18/2020,home,15204,734,Valdosta St.,9,True,3,4,-1,loss,1831018,608,2123289,2020
2,5,4,1,0,5,0,4,2,0,0,0,0,0,0,0,0,0,02/21/2020,home,15204,9680,Embry-Riddle (FL),9,True,20,5,15,win,1831331,608,2123289,2020
0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,02/22/2020,home,15204,9680,Embry-Riddle (FL),9,True,5,13,-8,loss,1831599,608,2123289,2020
0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,02/22/2020,home,15204,9680,Embry-Riddle (FL),9,True,2,13,-11,loss,1847670,608,2123289,2020
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,02/25/2020,home,15204,30092,Flagler,9,True,4,11,-7,loss,1832166,608,2123289,2020
1,4,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,02/28/2020,away,15204,20794,Lynn,9,True,9,11,-2,loss,1832388,608,2123289,2020
2,3,0,0,0,0,0,1,2,0,0,0,1,1,0,0,2,0,02/29/2020,away,15204,20794,Lynn,9,True,9,6,3,win,1832643,608,2123289,2020
1,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,02/29/2020,away,15204,20794,Lynn,9,True,5,7,-2,loss,1848607,608,2123289,2020
0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,03/02/2020,home,15204,27854,Minn.-Crookston,9,True,2,5,-3,loss,1833286,608,2123289,2020
0,4,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,03/06/2020,home,15204,333,Ky. Wesleyan,9,True,1,4,-3,loss,1833908,608,2123289,2020
1,5,2,1,0,6,1,3,0,0,0,0,1,0,0,0,0,0,03/07/2020,home,15204,934,Alderson Broaddus,9,True,12,2,10,win,1834385,608,2123289,2020
1,4,2,1,0,3,0,1,0,0,0,0,1,0,0,0,1,0,03/08/2020,home,15204,934,Alderson Broaddus,9,True,5,0,5,win,1834690,608,2123289,2020
2,3,3,1,0,4,0,1,1,0,0,0,0,0,0,0,2,0,03/08/2020,home,15204,934,Alderson Broaddus,9,True,8,2,6,win,1849492,608,2123289,2020
1,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,03/09/2020,home,15204,934,Alderson Broaddus,9,True,8,3,5,win,1834791,608,2123289,2020
