date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
02/14/2014,away,11620,99,Long Beach St.,9,True,5,2,3,win,5 - 2,586923,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
02/15/2014,away,11620,99,Long Beach St.,9,True,6,0,6,win,6 - 0,587062,736,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1527831,2014
02/16/2014,away,11620,99,Long Beach St.,9,True,6,2,4,win,6 - 2,587360,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
02/19/2014,home,11620,28600,Lipscomb,9,True,5,1,4,win,5 - 1,587695,736,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1527831,2014
02/21/2014,home,11620,302,UIC,9,True,14,1,13,win,14 - 1,587795,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
02/22/2014,home,11620,302,UIC,9,True,2,0,2,win,2 - 0,588028,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
02/23/2014,home,11620,302,UIC,9,True,12,1,11,win,12 - 1,588497,736,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1527831,2014
02/25/2014,home,11620,772,Western Ky.,9,True,2,3,-1,loss,2 - 3,588815,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
02/26/2014,home,11620,219,Evansville,9,True,3,8,-5,loss,3 - 8,588883,736,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
02/28/2014,home,11620,674,Stanford,9,True,4,1,3,win,4 - 1,589027,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/01/2014,home,11620,674,Stanford,9,True,5,1,4,win,5 - 1,589228,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/02/2014,home,11620,674,Stanford,9,True,4,2,2,win,4 - 2,589741,736,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1527831,2014
03/04/2014,home,11620,692,Tennessee Tech,9,True,4,0,4,win,4 - 0,590013,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/05/2014,away,11620,419,Middle Tenn.,9,True,4,3,1,win,4 - 3,590126,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/07/2014,home,11620,792,Winthrop,9,True,9,1,8,win,9 - 1,590353,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/08/2014,home,11620,792,Winthrop,9,True,5,0,5,win,5 - 0,590615,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/09/2014,home,11620,792,Winthrop,9,True,4,1,3,win,4 - 1,591147,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/11/2014,home,11620,201,Eastern Ill.,9,True,11,2,9,win,11 - 2,591653,736,3,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1527831,2014
03/14/2014,home,11620,365,LSU,9,True,2,4,-2,loss,2 - 4,592228,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/15/2014,home,11620,365,LSU,9,True,5,3,2,win,5 - 3,592793,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527831,2014
03/15/2014,home,11620,365,LSU,9,True,9,3,6,win,9 - 3,592962,736,4,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1527831,2014
