R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/31/2020,home,15204,2696,Hawaii Pacific,9,True,6,3,3,win,1829600,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/01/2020,home,15204,2696,Hawaii Pacific,9,True,9,3,6,win,1829674,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/07/2020,away,15204,277,Hawaii,9,True,4,5,-1,loss,1829869,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/08/2020,away,15204,277,Hawaii,9,True,4,6,-2,loss,1829969,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2020,away,15204,2696,Hawaii Pacific,9,True,7,8,-1,loss,1963929,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2020,away,15204,2696,Hawaii Pacific,9,True,2,4,-2,loss,1848543,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/28/2020,home,15204,30220,Biola,9,True,6,10,-4,loss,1832421,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/28/2020,home,15204,30220,Biola,9,True,1,4,-3,loss,1847813,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2020,home,15204,30146,Azusa Pacific,9,True,8,5,3,win,1833602,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/05/2020,home,15204,30146,Azusa Pacific,9,True,0,4,-4,loss,1833679,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/06/2020,home,15204,30146,Azusa Pacific,9,True,3,2,1,win,1833846,2697,2127959,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/06/2020,home,15204,30146,Azusa Pacific,9,True,1,9,-8,loss,1849204,2697,2127959,2020
