R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,4,1,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,02/07/2023,home,16340,584,Rollins,9,True,4,9,-5,loss,2389900,608,2795885,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/11/2023,home,16340,30092,Flagler,9,True,8,2,6,win,2407830,608,2795885,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/14/2023,home,16340,561,Quincy,9,True,2,10,-8,loss,2390218,608,2795885,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02/21/2023,home,16340,734,Valdosta St.,9,True,2,7,-5,loss,2391092,608,2795885,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/03/2023,home,16340,230,Florida Tech,9,True,10,5,5,win,2392629,608,2795885,2023,2
0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03/04/2023,home,16340,230,Florida Tech,9,True,4,5,-1,loss,2408142,608,2795885,2023,2
2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,03/10/2023,home,16340,333,Ky. Wesleyan,9,True,19,11,8,win,2394258,608,2795885,2023,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/17/2023,away,16340,9680,Embry-Riddle (FL),9,True,14,0,14,win,2396382,608,2795885,2023,2
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,03/17/2023,away,16340,9680,Embry-Riddle (FL),9,True,12,1,11,win,2396030,608,2795885,2023,2
2,3,2,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,03/19/2023,away,16340,9680,Embry-Riddle (FL),9,True,12,1,11,win,2409544,608,2795885,2023,2
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/24/2023,home,16340,233,Fla. Southern,9,True,7,10,-3,loss,2397533,608,2795885,2023,2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,03/28/2023,home,16340,208,Eckerd,9,True,10,12,-2,loss,2398560,608,2795885,2023,2
1,4,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,03/31/2023,away,16340,24639,Nova Southeastern,9,True,16,6,10,win,2398756,608,2795885,2023,2
1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,04/01/2023,away,16340,24639,Nova Southeastern,9,True,2,5,-3,loss,2399117,608,2795885,2023,2
1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,04/01/2023,away,16340,24639,Nova Southeastern,9,True,4,3,1,win,2409883,608,2795885,2023,2
2,3,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,04/06/2023,away,16340,30093,AUM,9,True,13,2,11,win,2427787,608,2795885,2023,2
0,3,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,04/07/2023,away,16340,30093,AUM,11,True,9,8,1,win,2400832,608,2795885,2023,2
1,2,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,04/07/2023,away,16340,30093,AUM,9,True,8,0,8,win,2409329,608,2795885,2023,2
