date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,SB,CS,Picked,IBB,stats_player_seq,season
02/15/2014,home,11620,419,Middle Tenn.,9,True,10,11,-1,loss,10 - 11,587153,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/15/2014,home,11620,419,Middle Tenn.,9,True,5,1,4,win,5 - 1,587214,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/16/2014,home,11620,419,Middle Tenn.,9,True,18,1,17,win,18 - 1,587315,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/18/2014,away,11620,257,Georgia,9,True,10,7,3,win,10 - 7,587603,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/19/2014,home,11620,632,Savannah St.,9,True,5,7,-2,loss,5 - 7,587678,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/21/2014,home,11620,1092,Gardner-Webb,11,True,2,1,1,win,2 - 1,587863,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/22/2014,home,11620,1092,Gardner-Webb,9,True,4,8,-4,loss,4 - 8,588180,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/22/2014,home,11620,1092,Gardner-Webb,9,True,0,3,-3,loss,0 - 3,588283,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/23/2014,home,11620,1092,Gardner-Webb,9,True,10,6,4,win,10 - 6,588562,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
02/25/2014,away,11620,255,Georgia Tech,12,True,5,3,2,win,5 - 3,588820,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315791,2014
