,jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
33,14,1881755,Alex Amos,INF,Fr,53,53,2017,12560,Pittsburgh,545
34,29,1881756,Nick Banman,INF,Jr,52,50,2017,12560,Pittsburgh,545
35,20,1881757,Blair Calvo,P,Jr,0,0,2017,12560,Pittsburgh,545
36,9,1757034,Yaya Chentouf,P,So,40,32,2017,12560,Pittsburgh,545
37,42,1881758,Adam Cornwell,P,Sr,4,1,2017,12560,Pittsburgh,545
38,2,1533030,P.J. Demeo,INF,Sr,53,51,2017,12560,Pittsburgh,545
39,22,1757038,Josh Falk,P,Sr,14,14,2017,12560,Pittsburgh,545
40,33,1881759,Rj Freure,P,Fr,21,0,2017,12560,Pittsburgh,545
41,4,1533032,Dan Furman,P,Jr,5,0,2017,12560,Pittsburgh,545
42,12,1757035,Tyler Garbee,P,So,2,0,2017,12560,Pittsburgh,545
43,34,1881760,Chris Gomez,P,Fr,20,2,2017,12560,Pittsburgh,545
44,17,1757037,Alex Griffith,C,So,25,14,2017,12560,Pittsburgh,545
45,18,1881761,Dan Hammer,P,Fr,16,11,2017,12560,Pittsburgh,545
46,48,1757046,Kevin Henriksen,P,So,1,0,2017,12560,Pittsburgh,545
47,5,1881762,Kaylor Kulina,INF,Jr,14,10,2017,12560,Pittsburgh,545
48,32,1757041,Collin Liberatore,P,So,0,0,2017,12560,Pittsburgh,545
49,3,1533035,Frank Maldonado,OF,Jr,51,50,2017,12560,Pittsburgh,545
50,31,1647039,Isaac Mattson,P,Jr,21,0,2017,12560,Pittsburgh,545
51,19,1533036,Sam Mersing,P,Sr,26,0,2017,12560,Pittsburgh,545
52,40,1533038,Josh Mitchell,P,Jr,17,16,2017,12560,Pittsburgh,545
53,44,1881763,Tj Pagan,P,Jr,14,0,2017,12560,Pittsburgh,545
54,6,1533041,Caleb Parry,C,Sr,53,53,2017,12560,Pittsburgh,545
55,43,1533042,Manny Pazos,C,Sr,49,47,2017,12560,Pittsburgh,545
56,41,1533043,Matt Pidich,P,Jr,16,9,2017,12560,Pittsburgh,545
57,1,1881764,Nico Popa,INF,Fr,51,50,2017,12560,Pittsburgh,545
58,28,1881765,Peyton Reesman,P,Fr,0,0,2017,12560,Pittsburgh,545
59,11,1881766,Liam Sabino,INF,So,0,0,2017,12560,Pittsburgh,545
60,46,1757045,Derek West,P,So,0,0,2017,12560,Pittsburgh,545
61,13,1647049,Jacob Wright,OF,Sr,53,52,2017,12560,Pittsburgh,545
62,24,1757036,David Yanni,INF,So,6,6,2017,12560,Pittsburgh,545
63,27,1881767,Zach Zientarski,P,Fr,18,9,2017,12560,Pittsburgh,545
392,13,1874059,Chris Arpan,OF,Fr,19,19,2017,12560,Portland,551
393,35,1763499,Kevin Baker,P,Jr,14,10,2017,12560,Portland,551
394,26,1874065,Noah Bode,P,Fr,2,0,2017,12560,Portland,551
395,15,1874060,Justin Brown,INF,So,9,4,2017,12560,Portland,551
396,2,1763498,Beau Brundage,OF,Fr,49,49,2017,12560,Portland,551
397,12,1874058,Tate Budnick,C,Jr,43,31,2017,12560,Portland,551
398,30,1874069,Henry Cheney,OF,Fr,6,2,2017,12560,Portland,551
399,21,1874062,Dutton Elske,C,Fr,29,25,2017,12560,Portland,551
400,3,1763493,Michael Forgione,INF,Sr,40,28,2017,12560,Portland,551
401,16,1763501,Cody Hawken,OF,So,52,52,2017,12560,Portland,551
402,33,1651185,Jake Hawken,P,Jr,16,1,2017,12560,Portland,551
403,25,1874064,Michael Hicks,INF,So,36,32,2017,12560,Portland,551
404,5,1874055,Ryan Hoogerwerf,INF,Jr,48,47,2017,12560,Portland,551
405,10,1651184,Jordan Horak,P,Jr,23,6,2017,12560,Portland,551
406,20,1763496,Matt Kelly,INF,So,52,52,2017,12560,Portland,551
407,28,1874067,Geon Hyoung Kim,OF,Fr,32,20,2017,12560,Portland,551
408,27,1874066,Connor Knutson,P,Fr,11,0,2017,12560,Portland,551
409,37,1874072,Matt Kollas,INF,Fr,4,1,2017,12560,Portland,551
410,7,1545055,Devin Kopas,C,Sr,33,25,2017,12560,Portland,551
411,6,1874056,Daniel Lopez,INF,Jr,4,4,2017,12560,Portland,551
412,18,1763495,Marty Luchenback,P,Sr,23,1,2017,12560,Portland,551
413,29,1874068,Grady Miller,P,Fr,15,13,2017,12560,Portland,551
414,23,1874063,Joey Morris,P,Fr,0,0,2017,12560,Portland,551
415,31,1874070,Camden Muller,P,Jr,12,0,2017,12560,Portland,551
416,34,1874071,Christian Peters,P,Fr,12,1,2017,12560,Portland,551
417,17,1763494,Corbin Powers,P,Jr,15,12,2017,12560,Portland,551
418,22,1763497,Cameron Richman,C,So,8,0,2017,12560,Portland,551
419,1,1545052,Jason Rosen,OF,Sr,17,15,2017,12560,Portland,551
420,11,1763500,Grant Sutton,OF,So,12,3,2017,12560,Portland,551
421,8,1874057,Justin Thaxton,INF,Jr,21,14,2017,12560,Portland,551
