jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
33,2128810,Jack Anderson,UT,-,Sr,0,2023,16340,Pittsburgh,545
32,2123210,Billy Corcoran,P,-,Sr,0,2023,16340,Pittsburgh,545
48,2475176,David Ferguson,P,-,Jr,0,2023,16340,Pittsburgh,545
30,2655372,Tyler Kennedy,P,-,So,0,2023,16340,Pittsburgh,545
43,2140329,Ryan Miller,P,-,Sr,0,2023,16340,Pittsburgh,545
21,2125120,Peter Allegro,P,5-9,Sr,0,2023,16340,Portland,551
35,2311325,Jack Folkins,P,-,Jr,0,2023,16340,Portland,551
4,2125115,Jake Holcroft,OF,-,Jr,0,2023,16340,Portland,551
16,2679520,Riley Mccarthy,C,-,So,0,2023,16340,Portland,551
12,2488208,Kj Ruffo,UT,-,Jr,0,2023,16340,Portland,551
3,2125131,Trace Tammaro,1B,-,Jr,0,2023,16340,Portland,551
12,2659612,Carson Foreman,INF,-,Jr,0,2023,16340,Southwestern Okla.,8744
33,2127366,Colton Hunter,P,-,Jr,0,2023,16340,Southwestern Okla.,8744
34,2127368,Brooks Red,INF,-,Sr,0,2023,16340,Southwestern Okla.,8744
4,2499440,Reece Bauer,INF,5-11,Jr,0,2023,16340,Wabash,747
30,2329364,Jacob Cox,P,6-1,Sr,0,2023,16340,Wabash,747
12,2677400,Will Phillips,OF,6-2,So,0,2023,16340,Wabash,747
15,2677421,Jackson Wannemuehler,OF,5-10,So,0,2023,16340,Wabash,747
41,2656228,Kyle Avellino,C,-,So,0,2023,16340,Washington Col.,753
42,2307059,Andrew Lerario,P,-,Sr,0,2023,16340,Washington Col.,753
6,2307055,Jay Nesson,P,-,Sr,0,2023,16340,Washington Col.,753
32,2307056,Anthony Sofran,P,-,Sr,0,2023,16340,Washington Col.,753
25,2488239,Logan Yi,INF,-,Jr,0,2023,16340,Washington Col.,753
8,2682778,Alejandro Avila,OF,-,So,0,2023,16340,Berea,30171
7,2685358,D. Davis,p,-,Fr,0,2023,16340,Berea,30171
20,2682231,Jayden Junta,UT,-,So,0,2023,16340,Berea,30171
26,2682921,Jordan Mcvey,C,-,So,0,2023,16340,Berea,30171
14,2682232,Ricardo Serra,INF,-,So,0,2023,16340,Berea,30171
9,2682229,Talon Yates,INF,-,So,0,2023,16340,Berea,30171
25.0,2519304,Dylan Allen,3B,-,Jr,0,2023,16340,SUNY Canton,30165
