jersey,stats_player_seq,name,position,class_year,games_played,games_started,season,season_id,school,school_id
5,1892925,Luis Atiles,INF,So,37,35,2018,12973,New England Col.,467
21,2001186,Shayne Audet,P,Fr,11,9,2018,12973,New England Col.,467
1,2001047,Christian Aybar,OF,Jr,31,30,2018,12973,New England Col.,467
3,1892924,Jameson Carey,INF,So,35,33,2018,12973,New England Col.,467
2,1773706,Justin Carey,INF,Sr,31,31,2018,12973,New England Col.,467
12,1892927,Andrew Castano,3B,Jr,18,12,2018,12973,New England Col.,467
44,1777325,Jeam Castillo,P,Jr,41,33,2018,12973,New England Col.,467
45,2001190,Shaun Cormier,P,Fr,8,2,2018,12973,New England Col.,467
9,1892935,Jacob Craigue,P,So,2,0,2018,12973,New England Col.,467
18,1892930,Selah Dalomba,P,So,6,0,2018,12973,New England Col.,467
20,1892932,Evan Delaney,P,Jr,40,40,2018,12973,New England Col.,467
32,2001189,Jordin Diaz,1B,Fr,7,5,2018,12973,New England Col.,467
17,1666932,Chris Donovan,OF,Sr,2,0,2018,12973,New England Col.,467
4,2001038,Clifford Guerrero,C,So,10,0,2018,12973,New England Col.,467
10,2001143,Patrick Hagerty,OF,Fr,3,0,2018,12973,New England Col.,467
42,1777322,Brendan Halloran,P,Jr,6,1,2018,12973,New England Col.,467
19,2003360,Jovan Henriquez,P,Sr,3,0,2018,12973,New England Col.,467
23,1777317,Colby Howe,P,Jr,2,0,2018,12973,New England Col.,467
26,2001188,Michael Keating,INF,Fr,1,0,2018,12973,New England Col.,467
16,2001185,Connor Morin,1B,Fr,9,1,2018,12973,New England Col.,467
34,2001167,Xavier Nunez,UT,Jr,38,38,2018,12973,New England Col.,467
13,1894440,Restyn Ootton,3B,So,9,4,2018,12973,New England Col.,467
15,1666926,Joe Paliotte,OF,Sr,18,8,2018,12973,New England Col.,467
35,1892937,Joseph Pascucci,P,So,7,0,2018,12973,New England Col.,467
28,1894447,Cj Ponce,1B,So,2,0,2018,12973,New England Col.,467
33,2003371,Nick Powers,P,So,32,27,2018,12973,New England Col.,467
29,2001166,John Prentice,C,Fr,20,17,2018,12973,New England Col.,467
37,2001168,Jake Scanlan,P,Fr,3,2,2018,12973,New England Col.,467
22,1777318,Christopher States,P,Jr,6,1,2018,12973,New England Col.,467
25,2001187,Cameron Sullivan,P,So,0,0,2018,12973,New England Col.,467
24,1892933,Ryan Swarts,INF,Sr,4,0,2018,12973,New England Col.,467
7,1892928,Manolin Terrero,C,Sr,5,0,2018,12973,New England Col.,467
8,1892926,Stanley Vargas,P,So,33,29,2018,12973,New England Col.,467
27,1666931,Garrett Waldron,1B,Sr,3,0,2018,12973,New England Col.,467
14,2001144,Matt White,P,Fr,4,0,2018,12973,New England Col.,467
39,1777313,Manuel Alejandro,P,Sr,24,17,2019,14781,New England Col.,467
11,2001165,Miguel Andujar,INF,So,25,15,2019,14781,New England Col.,467
5,1892925,Luis Atiles,INF,Jr,46,45,2019,14781,New England Col.,467
21,2001186,Shayne Audet,P,So,9,9,2019,14781,New England Col.,467
1,2001047,Christian Aybar,OF,Sr,46,46,2019,14781,New England Col.,467
3,1892924,Jameson Carey,INF,Jr,32,24,2019,14781,New England Col.,467
44,1777325,Jeam Castillo,P,Sr,34,31,2019,14781,New England Col.,467
28,2135064,Dylan Champagne,P,Fr,11,4,2019,14781,New England Col.,467
45,2001190,Shaun Cormier,P,So,10,2,2019,14781,New England Col.,467
9,1892935,Jacob Craigue,P,Jr,3,0,2019,14781,New England Col.,467
18,1892930,Selah Dalomba,P,Jr,10,0,2019,14781,New England Col.,467
20,1892932,Evan Delaney,P,Sr,43,43,2019,14781,New England Col.,467
