date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/26/2021,home,15580,732,Utah,9,True,7,6,1,win,7 - 6,5011541,370,1,2.0,0,1,0,0,0,3,0,5,5,0,0,0,0,0,0,0,2,0,0,0,23,1,0,0,0,1,5,1,0,1994854,2021
03/05/2021,away,15580,756,Washington,10,True,2,1,1,win,2 - 1,5015497,370,1,1.1,0,1,0,0,0,2,0,5,5,1,0,0,0,0,0,0,1,0,0,0,24,0,2,1,0,0,4,0,0,1994854,2021
03/12/2021,away,15580,107,California,9,True,4,3,1,win,4 - 3,5023432,370,1,1.0,0,1,0,0,1,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,0,1994854,2021
03/20/2021,home,15580,77,BYU,9,True,1,4,-3,loss,1 - 4,5031589,370,1,2.1,0,2,1,1,1,0,0,10,8,0,0,0,1,0,0,0,0,0,1,0,38,4,3,0,0,0,3,0,0,1994854,2021
03/27/2021,home,15580,260,Gonzaga,9,True,8,4,4,win,8 - 4,5039745,370,1,3.1,0,7,2,2,0,1,0,17,17,1,0,0,0,0,0,0,2,0,0,0,47,3,6,1,0,0,2,0,0,1994854,2021
04/01/2021,away,15580,629,San Francisco,9,True,3,4,-1,loss,3 - 4,5043658,370,1,3.2,0,8,4,4,0,2,0,19,17,3,0,0,1,0,0,0,0,0,2,0,75,6,3,0,1,0,1,1,0,1994854,2021
04/09/2021,home,15580,627,San Diego,9,True,9,5,4,win,9 - 5,5051320,370,1,6.0,0,5,1,0,2,1,0,23,21,1,0,0,0,0,0,0,0,0,0,0,79,8,7,1,0,0,1,0,0,1994854,2021
04/16/2021,away,15580,551,Portland,9,True,8,5,3,win,8 - 5,5060821,370,1,4.2,0,9,5,5,1,3,0,26,23,3,0,0,1,0,2,0,0,0,0,0,0,5,5,0,0,0,1,0,0,1994854,2021
04/23/2021,away,15580,541,Pepperdine,9,True,4,1,3,win,4 - 1,5064505,370,1,7.0,0,5,1,0,2,2,0,30,27,0,0,0,0,0,0,0,0,0,0,0,101,7,11,1,0,0,1,0,0,1994854,2021
04/30/2021,home,15580,631,Santa Clara,9,True,5,2,3,win,5 - 2,5070135,370,1,7.0,0,3,2,1,0,5,0,26,24,0,0,0,1,0,1,0,0,0,0,1,103,5,11,1,0,0,1,2,0,1994854,2021
05/11/2021,home,15580,110,UCLA,9,True,8,9,-1,loss,8 - 9,5077310,370,1,0.2,0,2,1,1,0,1,0,5,3,1,0,0,0,0,1,0,0,0,1,0,20,1,0,0,0,0,6,0,0,1994854,2021
05/14/2021,away,15580,610,Saint Mary's (CA),9,True,9,7,2,win,9 - 7,5078261,370,1,6.2,0,7,4,3,2,4,0,29,26,2,0,0,0,0,0,0,0,0,1,0,102,9,7,0,0,0,1,1,0,1994854,2021
05/21/2021,home,15580,534,Pacific,9,True,7,2,5,win,7 - 2,5080788,370,1,7.1,0,6,2,1,0,4,0,30,30,3,0,0,0,1,0,0,0,0,0,0,106,10,9,1,0,0,1,0,0,1994854,2021
