App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,1.2,0.0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,03/10/2018,away,12973,611,St. Mary's (MD),9,True,0,3,-3,loss,90178,8486,1772221,2018
0,0,0.2,0.0,2,1,1,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,03/15/2018,away,12973,1112,Guilford,9,True,4,5,-1,loss,91145,8486,1772221,2018
0,0,1.0,0.0,1,1,1,2,0,0,7,4,0,0,0,0,2,1,1,0,0,0,0,0,1,2,0,1,0,2,0,03/17/2018,away,12973,724,Merchant Marine,9,True,5,6,-1,loss,91735,8486,1772221,2018
0,1,1.2,0.0,4,2,2,0,0,0,9,9,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,04/10/2018,home,12973,762,Wentworth,9,True,8,9,-1,loss,97725,8486,1772221,2018
0,0,0.1,0.0,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0,0,2,0,04/15/2018,away,12973,22626,JWU (Providence),9,True,0,4,-4,loss,99288,8486,1772221,2018
0,0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,04/20/2018,home,12973,605,St. Joseph's (ME),9,True,5,11,-6,loss,100148,8486,1772221,2018
0,0,1.0,0.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,04/24/2018,home,12973,30219,Dean,9,True,3,1,2,win,101684,8486,1772221,2018
0,0,1.0,0.0,1,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,04/28/2018,home,12973,2798,Albertus Magnus,9,True,7,0,7,win,102952,8486,1772221,2018
0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,05/03/2018,away,12973,684,Suffolk,10,True,5,6,-1,loss,103770,8486,1772221,2018
0,0,2.0,0.0,1,2,1,1,1,0,9,6,1,0,0,0,0,1,0,0,0,0,1,23,1,4,0,1,0,2,1,05/05/2018,neutral,12973,605,St. Joseph's (ME),9,True,5,9,-4,loss,104502,8486,1772221,2018
