date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/23/2021,home,15580,514,Oakland,9,True,8,1,7,win,8 - 1,5007263,419,1,0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,2125094,2021
02/26/2021,home,15580,71,Bowling Green,10,True,5,4,1,win,5 - 4,5008289,419,1,1,5.0,0.0,5,3,3,1,7,0,21,19,2,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,1,1,0,2125094,2021
03/07/2021,away,15580,646,South Alabama,10,True,4,2,2,win,4 - 2,5018190,419,1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,1,3,0,0,2125094,2021
03/13/2021,home,15580,735,Valparaiso,9,True,2,3,-1,loss,2 - 3,5024481,419,1,1,5.1,0.0,5,1,1,1,8,0,21,19,0,0,1,1,0,1,0,0,0,0,0,74,3,3,0,0,0,1,1,0,2125094,2021
03/21/2021,away,15580,404,Memphis,11,True,7,8,-1,loss,7 - 8,5032912,419,1,1,7.0,0.0,7,2,2,0,5,0,27,27,1,0,0,1,0,0,0,0,0,0,0,91,7,8,0,0,0,1,0,0,2125094,2021
03/28/2021,away,15580,9,UAB,9,True,3,1,2,win,3 - 1,5040436,419,1,1,6.2,0.0,5,1,1,1,4,0,26,23,1,0,0,0,2,1,0,0,0,0,1,0,7,8,1,0,0,1,1,0,2125094,2021
04/11/2021,away,15580,706,UTSA,9,True,1,15,-14,loss,1 - 15,5053395,419,1,1,3.2,0.0,5,6,5,4,3,0,22,16,0,0,0,1,0,2,0,0,0,0,0,0,2,5,0,1,0,1,2,0,2125094,2021
04/17/2021,away,15580,772,Western Ky.,9,True,4,5,-1,loss,4 - 5,5059001,419,1,1,4.0,0.0,6,5,4,2,4,0,21,18,0,0,0,2,0,1,0,0,0,0,0,75,2,5,0,1,0,1,1,0,2125094,2021
04/25/2021,home,15580,9,UAB,9,True,3,2,1,win,3 - 2,5069481,419,1,1,4.0,0.0,1,2,2,0,1,0,17,15,0,0,0,0,0,2,0,0,0,0,0,51,7,4,0,0,0,1,0,0,2125094,2021
05/02/2021,home,15580,366,Louisiana Tech,9,True,1,6,-5,loss,1 - 6,5072351,419,1,0,1.2,0.0,2,1,0,1,0,0,10,8,0,0,0,0,0,0,0,2,1,0,1,29,1,4,0,0,0,2,0,0,2125094,2021
05/07/2021,away,15580,664,Southern Miss.,10,True,1,2,-1,loss,1 - 2,5074992,419,1,1,7.2,0.0,7,0,0,3,7,0,33,28,1,0,0,0,0,1,0,0,0,1,0,122,6,9,0,0,0,1,2,0,2125094,2021
05/15/2021,home,15580,231,FIU,9,True,5,0,5,win,5 - 0,5078786,419,1,1,7.0,1,3,0,0,0,5,1,24,24,0,0,0,0,0,0,0,0,0,0,0,75,5,11,1,0,0,1,2,0,2125094,2021
05/28/2021,home,15580,229,Fla. Atlantic,9,True,8,14,-6,loss,8 - 14,5082245,419,1,1,1.2,0.0,6,3,3,1,1,0,11,10,2,0,0,1,0,0,0,0,0,0,0,42,1,2,0,0,0,1,0,0,2125094,2021
