date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/20/2016,home,12360,639,Siena,9,True,15,0,15,win,15 - 0,292731,128,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1538442,2016
02/21/2016,home,12360,639,Siena,9,True,11,2,9,win,11 - 2,293196,128,0,0,0.2,0.0,0,0,0,1,1,0,3,2,0,0,0,0,2,0,0,1,1,0,0,18,1,0,0,0,0,5,0,1538442,2016
02/23/2016,home,12360,61,Bethune-Cookman,9,True,12,7,5,win,12 - 7,293416,128,0,0,0.0,0.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,1538442,2016
02/28/2016,home,12360,416,Michigan St.,9,True,2,6,-4,loss,2 - 6,294493,128,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1538442,2016
03/01/2016,home,12360,235,Florida,9,True,5,9,-4,loss,5 - 9,294732,128,0,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,5,0,1538442,2016
03/02/2016,away,12360,235,Florida,9,True,0,4,-4,loss,0 - 4,294869,128,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1538442,2016
03/05/2016,away,12360,574,Rice,9,True,2,0,2,win,2 - 0,295291,128,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1538442,2016
03/06/2016,away,12360,574,Rice,9,True,10,13,-3,loss,10 - 13,295855,128,0,0,1.0,0.0,2,3,3,1,0,0,6,5,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,2,0,1538442,2016
03/09/2016,away,12360,61,Bethune-Cookman,9,True,3,17,-14,loss,3 - 17,296529,128,0,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,8,0,1538442,2016
03/12/2016,home,12360,361,LIU,9,True,5,2,3,win,5 - 2,297226,128,0,0,0.2,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,2,0,1538442,2016
03/16/2016,home,12360,415,Miami (FL),9,True,2,5,-3,loss,2 - 5,298401,128,0,0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,0,0,5,0,1538442,2016
03/26/2016,home,12360,167,Cornell,9,True,8,3,5,win,8 - 3,301083,128,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,1538442,2016
03/29/2016,away,12360,316,Jacksonville,9,True,3,8,-5,loss,3 - 8,301893,128,0,0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,1538442,2016
04/05/2016,home,12360,229,Fla. Atlantic,11,True,0,5,-5,loss,0 - 5,303576,128,0,0,1.0,0.0,1,1,1,0,2,0,4,4,1,0,0,0,3,0,0,2,2,0,0,20,1,0,0,0,0,9,0,1538442,2016
04/13/2016,away,12360,415,Miami (FL),9,True,4,8,-4,loss,4 - 8,305650,128,0,0,0.1,0.0,0,0,0,2,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,16,0,1,0,0,0,5,0,1538442,2016
04/24/2016,home,12360,718,Tulane,9,True,0,6,-6,loss,0 - 6,309184,128,0,0,0.1,0.0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,11,0,1,0,0,0,5,0,1538442,2016
04/29/2016,away,12360,651,South Fla.,9,True,0,4,-4,loss,0 - 4,310053,128,0,0,0.1,0.0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,7,1,0,0,0,0,2,0,1538442,2016
05/01/2016,away,12360,651,South Fla.,9,True,9,2,7,win,9 - 2,310995,128,0,0,0.2,0.0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,1,0,0,0,11,0,1,0,0,0,2,0,1538442,2016
05/11/2016,home,12360,316,Jacksonville,9,True,6,3,3,win,6 - 3,312711,128,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1538442,2016
05/14/2016,away,12360,164,UConn,9,True,8,15,-7,loss,8 - 15,313147,128,0,0,0.2,0.0,0,0,0,2,0,0,5,2,0,0,0,0,0,1,0,1,1,0,0,19,1,1,0,0,0,6,0,1538442,2016
05/15/2016,away,12360,164,UConn,9,True,0,3,-3,loss,0 - 3,313376,128,0,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,3,0,1538442,2016
05/21/2016,home,12360,196,East Carolina,9,True,7,8,-1,loss,7 - 8,314005,128,0,0,0.1,0.0,1,0,0,1,0,0,4,2,0,0,0,0,0,1,0,1,1,0,0,10,0,1,0,0,0,5,0,1538442,2016
05/27/2016,home,12360,718,Tulane,9,True,0,5,-5,loss,0 - 5,314360,128,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1538442,2016
