date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/22/2022,home,15860,235,Florida,9,True,1,8,-7,loss,1 - 8,5212988,678,1,0,2.1,0.0,3,1,1,0,1,0,10,10,0,0,0,0,0,0,0,1,0,0,0,30,2,4,0,0,0,3,0,0,2467960,2022
02/25/2022,home,15860,158,Columbia,9,True,3,8,-5,loss,3 - 8,5215406,678,1,0,0.1,0.0,4,3,3,0,1,0,5,5,1,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,1,0,2467960,2022
03/01/2022,away,15860,128,UCF,9,True,3,5,-2,loss,3 - 5,5220427,678,1,0,3.2,0.0,2,1,1,0,3,0,12,12,0,0,0,1,0,0,0,2,1,0,0,59,2,5,0,0,0,2,1,0,2467960,2022
03/11/2022,home,15860,228,Florida A&M,9,True,2,0,2,win,2 - 0,5231599,678,1,0,5.0,0.0,0,0,0,1,10,0,16,15,0,0,0,0,0,0,0,0,0,0,0,65,3,2,1,0,0,2,5,0,2467960,2022
03/15/2022,home,15860,380,Maine,9,True,12,1,11,win,12 - 1,5235468,678,1,0,2.0,0.0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,19,2,3,0,0,0,2,1,0,2467960,2022
03/18/2022,home,15860,28755,FGCU,9,True,11,25,-14,loss,11 - 25,5239778,678,1,0,0.2,0.0,3,4,0,1,1,0,7,6,0,0,0,1,0,0,0,1,1,0,0,24,1,0,0,0,0,2,1,0,2467960,2022
03/20/2022,home,15860,28755,FGCU,9,True,2,6,-4,loss,2 - 6,5240890,678,1,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,5,0,0,2467960,2022
03/25/2022,away,15860,355,Liberty,9,True,3,4,-1,loss,3 - 4,5245739,678,1,0,0.2,0.0,2,1,1,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,16,1,1,0,1,0,3,0,0,2467960,2022
03/27/2022,away,15860,355,Liberty,9,True,7,1,6,win,7 - 1,5247665,678,1,0,1.0,0.0,1,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,3,1,0,2467960,2022
04/03/2022,home,15860,2711,North Florida,9,True,2,6,-4,loss,2 - 6,5254346,678,1,0,1.0,0.0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2,1,0,2467960,2022
04/06/2022,away,15860,234,Florida St.,12,True,4,5,-1,loss,4 - 5,5258549,678,1,0,3.1,0.0,2,2,2,0,3,0,11,11,0,0,0,1,0,0,0,1,0,0,0,51,1,5,0,0,0,3,0,0,2467960,2022
04/09/2022,home,15860,1157,Kennesaw St.,9,True,2,3,-1,loss,2 - 3,5260183,678,1,0,2.0,0.0,3,0,0,1,1,0,8,7,1,0,0,0,0,0,0,1,1,0,0,24,3,0,0,0,0,3,0,0,2467960,2022
04/14/2022,away,15860,316,Jacksonville,9,True,6,4,2,win,6 - 4,5264361,678,1,0,3.0,0.0,3,1,1,0,3,0,12,11,0,0,0,0,1,0,0,2,1,0,1,48,3,3,1,0,0,2,0,0,2467960,2022
04/16/2022,away,15860,316,Jacksonville,9,True,4,5,-1,loss,4 - 5,5266850,678,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,0,4,0,0,2467960,2022
04/22/2022,away,15860,28755,FGCU,9,True,4,9,-5,loss,4 - 9,5271454,678,1,0,0.0,0.0,2,3,3,3,0,0,5,2,1,0,0,0,0,0,1,2,2,0,0,15,0,0,0,0,0,3,0,0,2467960,2022
04/29/2022,home,15860,355,Liberty,15,True,1,2,-1,loss,1 - 2,5278712,678,1,0,3.2,0.0,1,1,1,2,5,0,15,12,1,0,0,0,0,0,1,1,0,1,0,58,5,1,0,1,0,3,0,0,2467960,2022
05/03/2022,home,15860,234,Florida St.,9,True,6,0,6,win,6 - 0,5282476,678,1,1,6.0,0.0,2,0,0,4,6,0,23,19,1,0,0,0,0,0,0,0,0,0,0,103,4,7,1,0,0,1,4,0,2467960,2022
05/08/2022,away,15860,2711,North Florida,10,True,7,5,2,win,7 - 5,5285113,678,1,1,4.1,0.0,3,4,2,5,3,0,22,17,0,0,0,0,0,0,0,0,0,0,0,82,4,6,0,0,0,1,1,0,2467960,2022
05/14/2022,away,15860,1157,Kennesaw St.,9,True,10,9,1,win,10 - 9,5287622,678,1,0,1.0,0.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,25,1,1,0,0,1,3,1,0,2467960,2022
05/17/2022,away,15860,651,South Fla.,9,True,6,4,2,win,6 - 4,5288560,678,1,1,8.0,0.0,6,2,2,2,2,0,31,28,2,0,0,2,0,1,0,0,0,0,0,100,10,10,1,0,0,1,0,0,2467960,2022
