App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,1.1,0.0,3,1,1,0,1,0,7,7,0,0,0,1,0,0,0,2,2,0,0,0,0,3,0,0,0,3,0,02/01/2019,neutral,14781,598,St. Cloud St.,9,True,2,7,-5,loss,1647050,696,1983109,2019
1,0,0.1,0.0,0,0,0,1,1,0,2,1,0,0,0,0,2,0,0,2,1,0,0,10,0,0,0,0,0,6,1,02/03/2019,neutral,14781,947,Arkansas Tech,9,True,11,13,-2,loss,1647175,696,1983109,2019
1,0,0.2,0.0,2,3,2,1,2,0,6,5,1,0,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,4,0,02/15/2019,away,14781,1346,St. Mary's (TX),9,True,4,8,-4,loss,1647777,696,1983109,2019
1,0,2.0,0.0,2,1,0,0,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,31,1,1,0,0,0,4,0,03/08/2019,home,14781,25,Angelo St.,9,True,5,8,-3,loss,1651515,696,1983109,2019
1,0,0.2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,1,0,0,9,1,1,0,0,0,4,0,03/09/2019,home,14781,25,Angelo St.,9,True,3,8,-5,loss,1651855,696,1983109,2019
1,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,03/13/2019,away,14781,0,Houston-Victoria,9,True,16,6,10,win,1718845,696,1983109,2019
1,0,2.0,0.0,1,1,0,4,6,0,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,03/16/2019,away,14781,206,Eastern N.M.,9,True,6,11,-5,loss,1653479,696,1983109,2019
1,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,4,0,03/17/2019,away,14781,206,Eastern N.M.,9,True,8,7,1,win,1653851,696,1983109,2019
1,0,1.0,0.0,1,1,0,0,1,0,5,5,0,0,0,0,1,0,0,0,0,0,0,15,0,2,0,0,0,4,0,03/19/2019,away,14781,1334,St. Edward's,9,True,18,5,13,win,1654015,696,1983109,2019
1,0,2.1,0.0,3,2,1,0,3,0,11,9,1,0,0,0,0,0,0,2,1,1,1,42,1,3,0,0,0,2,1,03/23/2019,home,14781,767,West Tex. A&M,9,True,5,4,1,win,1655083,696,1983109,2019
1,0,6.0,0.0,4,2,2,0,2,0,21,20,0,0,0,1,0,1,0,2,0,0,0,63,7,7,0,0,0,3,2,03/24/2019,home,14781,767,West Tex. A&M,13,True,7,3,4,win,1655448,696,1983109,2019
1,0,1.2,0.0,2,2,2,1,3,0,8,7,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,03/29/2019,away,14781,996,Cameron,9,True,4,6,-2,loss,1722006,696,1983109,2019
1,0,0.1,0.0,0,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,04/01/2019,away,14781,996,Cameron,12,True,4,5,-1,loss,1656715,696,1983109,2019
1,0,2.0,0.0,2,0,0,1,4,0,9,8,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,3,0,04/06/2019,home,14781,1395,Tarleton St.,9,True,11,5,6,win,1723486,696,1983109,2019
1,0,0.2,0.0,1,0,0,0,2,0,3,3,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,1,04/06/2019,home,14781,1395,Tarleton St.,9,True,0,4,-4,loss,1723587,696,1983109,2019
1,0,0.2,0.0,2,1,0,0,2,0,4,4,0,0,0,0,1,0,0,2,2,0,0,17,0,0,0,0,0,2,0,04/14/2019,away,14781,30088,Tex. Permian Basin,9,True,8,14,-6,loss,1725124,696,1983109,2019
1,0,1.2,0.0,2,1,0,0,3,0,7,7,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,2,1,04/26/2019,away,14781,25,Angelo St.,9,True,0,10,-10,loss,1662334,696,1983109,2019
1,0,2.0,0.0,6,4,2,2,1,0,12,10,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,2,0,04/27/2019,away,14781,25,Angelo St.,9,True,2,9,-7,loss,1662778,696,1983109,2019
1,0,1.2,0.0,2,3,0,1,3,0,9,7,0,1,0,0,1,0,0,2,1,1,0,0,2,0,0,0,0,4,0,04/28/2019,away,14781,25,Angelo St.,9,True,6,14,-8,loss,1663045,696,1983109,2019
1,0,1.2,0.0,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,3,0,0,0,15,1,0,0,0,1,4,1,05/04/2019,home,14781,206,Eastern N.M.,9,True,4,3,1,win,1665185,696,1983109,2019
1,0,4.0,0.0,1,0,0,2,6,0,15,13,0,0,0,0,0,0,0,0,0,0,0,58,4,2,1,0,0,2,1,05/05/2019,home,14781,206,Eastern N.M.,9,True,6,2,4,win,1730692,696,1983109,2019
1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,0,0,2,0,05/09/2019,neutral,14781,1395,Tarleton St.,9,True,6,0,6,win,1731018,696,1983109,2019
1,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4,0,05/11/2019,away,14781,767,West Tex. A&M,9,True,0,2,-2,loss,1731680,696,1983109,2019
