App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,1.0,0.0,1,1,1,1,2,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,04/21/2018,home,12973,242,Fredonia,9,True,0,8,-8,loss,100544,78,1992740,2018
0,0,1.0,0.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,6,0,04/23/2018,away,12973,1159,Keuka,9,True,15,7,8,win,101448,78,1992740,2018
0,0,1.0,0.0,0,1,1,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,7,0,05/01/2018,home,12973,581,Rochester (NY),9,True,10,7,3,win,103524,78,1992740,2018
