App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,1.0,0.0,3,3,2,1,1,0,8,7,2,0,0,0,0,0,0,0,0,0,0,26,1,1,0,0,0,2,0,0,02/16/2024,away,16580,626,San Diego St.,9,True,5,4,1,win,4525526,551,2311325,2024,1
1,0,3.0,0.0,4,0,0,0,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,52,1,5,0,0,1,2,0,0,02/23/2024,away,16580,657,Southern California,9,True,4,0,4,win,4526561,551,2311325,2024,1
1,1,1.0,0.0,2,3,3,2,0,0,8,4,1,0,0,0,0,1,0,0,0,0,1,32,0,3,0,0,0,1,0,0,03/06/2024,away,16580,464,Omaha,9,True,7,5,2,win,4529031,551,2311325,2024,1
1,0,2.0,0.0,3,1,1,1,2,0,10,8,0,0,0,0,0,1,0,0,0,0,0,39,1,2,0,0,0,2,0,0,03/10/2024,away,16580,169,Creighton,9,True,2,9,-7,loss,4529484,551,2311325,2024,1
1,0,2.0,0.0,1,0,0,1,2,0,8,7,0,0,0,0,0,0,0,0,0,0,0,30,2,2,1,0,0,3,0,0,03/26/2024,home,16580,754,Washington St.,9,True,3,2,1,win,4533363,551,2311325,2024,1
1,0,2.2,0.0,4,3,3,3,2,0,15,11,1,0,0,0,0,0,1,2,0,1,0,55,4,2,0,1,0,2,0,0,04/09/2024,away,16580,528,Oregon St.,9,True,8,11,-3,loss,4536158,551,2311325,2024,1
1,0,0.1,0.0,5,5,5,1,0,0,7,5,1,0,0,0,0,0,0,0,0,0,1,21,0,1,0,0,0,2,0,0,04/16/2024,away,16580,756,Washington,9,True,2,11,-9,loss,4537723,551,2311325,2024,1
1,0,1.0,0.0,1,1,0,0,0,0,5,4,1,0,0,0,2,0,0,2,2,0,1,17,1,2,0,0,0,2,0,0,04/21/2024,away,16580,260,Gonzaga,9,True,9,13,-4,loss,4538850,551,2311325,2024,1
