date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/03/2019,home,14781,1343,Saint Martin's,9,True,10,5,5,win,10 - 5,4696030,30095,1,0.2,0,1,1,0,0,1,0,4,4,0,0,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,3,0,2126802,2019
02/08/2019,home,14781,1274,Northwest Nazarene,9,True,5,6,-1,loss,5 - 6,4702163,30095,1,1.2,0,2,3,1,1,2,0,9,7,0,0,0,0,1,0,0,1,1,0,1,35,2,2,0,1,0,3,0,2126802,2019
02/22/2019,home,14781,205,Mont. St. Billings,9,True,9,5,4,win,9 - 5,4712164,30095,1,1.0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,0,2126802,2019
02/24/2019,home,14781,205,Mont. St. Billings,9,True,10,8,2,win,10 - 8,4714897,30095,1,1.1,0,2,0,0,1,2,0,8,6,0,0,0,0,1,0,0,3,3,0,1,37,0,3,0,0,0,5,0,2126802,2019
03/03/2019,home,14781,11416,Colorado Mesa,9,True,3,6,-3,loss,3 - 6,4722333,30095,1,1.0,0,1,1,0,1,0,0,6,5,1,0,0,0,1,0,0,0,0,0,0,19,1,2,0,0,0,2,0,2126802,2019
03/09/2019,away,14781,929,Adams St.,9,True,20,10,10,win,20 - 10,4728510,30095,1,0.0,0,3,5,5,1,0,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2126802,2019
03/17/2019,home,14781,9754,UC-Colo. Springs,9,True,11,10,1,win,11 - 10,4739385,30095,1,0.1,0,1,1,1,0,1,0,2,2,1,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,4,0,2126802,2019
03/22/2019,away,14781,8577,N.M. Highlands,9,True,8,11,-3,loss,8 - 11,4744073,30095,1,1.2,0,2,2,2,1,2,0,8,6,0,0,0,0,0,1,1,1,0,0,0,34,2,0,0,0,0,4,1,2126802,2019
03/30/2019,home,14781,2720,CSU Pueblo,9,True,11,14,-3,loss,11 - 14,4755192,30095,1,1.0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,2126802,2019
03/30/2019,home,14781,2720,CSU Pueblo,9,True,7,9,-2,loss,7 - 9,4754076,30095,1,1.0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0,0,3,0,2126802,2019
03/31/2019,home,14781,2720,CSU Pueblo,9,True,16,5,11,win,16 - 5,4754814,30095,1,1.2,0,2,2,2,0,1,0,7,5,1,1,0,0,1,1,0,2,1,0,1,17,2,1,0,0,0,2,0,2126802,2019
04/06/2019,away,14781,155,Colo. Sch. of Mines,9,True,4,8,-4,loss,4 - 8,4761549,30095,1,0.1,0,2,1,1,0,0,0,3,3,2,0,0,0,0,0,0,2,2,0,0,19,0,1,0,0,0,2,0,2126802,2019
04/28/2019,home,14781,11403,Colo. Christian,9,True,8,2,6,win,8 - 2,4783443,30095,1,0.2,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,4,0,2126802,2019
