date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/17/2012,away,10942,234,Florida St.,9,True,2,9,-7,loss,2 - 9,755544,283,1,0.2,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,4,0,1093591,2012
02/18/2012,away,10942,234,Florida St.,9,True,8,10,-2,loss,8 - 10,755792,283,1,2.0,2,0,0,0,1,0,8,7,0,0,0,0,0,0,0,1,0,1,0,21,4,1,0,0,0,5,0,1093591,2012
02/25/2012,home,10942,513,Notre Dame,9,True,3,6,-3,loss,3 - 6,757341,283,1,2.1,4,1,1,1,3,0,12,11,1,0,0,0,0,0,1,2,0,0,0,0,1,3,0,0,0,3,2,1093591,2012
03/04/2012,away,10942,236,Fordham,9,True,7,2,5,win,7 - 2,759018,283,1,1.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,3,0,1093591,2012
03/04/2012,away,10942,236,Fordham,9,True,5,6,-1,loss,5 - 6,759066,283,1,1.0,1,0,0,0,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,18,2,0,0,0,0,4,1,1093591,2012
03/09/2012,away,10942,248,George Mason,9,True,4,6,-2,loss,4 - 6,760081,283,1,1.0,1,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,1093591,2012
03/17/2012,home,10942,740,VCU,9,True,13,4,9,win,13 - 4,762753,283,1,3.0,4,0,0,0,2,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,4,1,1093591,2012
03/18/2012,home,10942,740,VCU,9,True,12,5,7,win,12 - 5,763474,283,1,1.0,3,3,3,1,0,0,6,5,2,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,3,0,1093591,2012
03/23/2012,away,10942,523,Old Dominion,9,True,9,5,4,win,9 - 5,764462,283,1,0.2,2,1,1,2,1,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1093591,2012
03/27/2012,away,10942,386,Marist,9,True,9,7,2,win,9 - 7,766095,283,1,1.0,3,4,4,1,0,0,9,4,1,1,0,1,0,2,0,0,0,2,0,0,3,0,0,0,0,3,0,1093591,2012
04/01/2012,away,10942,178,Delaware St.,9,True,11,3,8,win,11 - 3,767756,283,1,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,0,2,1,0,0,4,0,1093591,2012
04/04/2012,home,10942,14,UAlbany,9,True,12,4,8,win,12 - 4,768655,283,1,1.0,3,2,2,0,2,0,6,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,1093591,2012
04/10/2012,home,10942,477,New York Tech,9,True,24,1,23,win,24 - 1,770696,283,1,5.0,4,1,1,2,2,0,21,19,0,0,0,0,0,0,0,0,0,0,0,68,8,5,1,0,0,1,1,1093591,2012
04/18/2012,home,10942,236,Fordham,9,True,14,9,5,win,14 - 9,773454,283,1,3.2,4,1,0,0,4,0,14,14,1,0,0,0,0,0,0,0,0,0,0,47,4,2,1,0,0,3,2,1093591,2012
04/21/2012,home,10942,317,James Madison,9,True,14,20,-6,loss,14 - 20,774702,283,1,1.1,4,4,4,3,1,0,11,7,0,0,1,0,0,0,0,1,1,1,0,37,2,1,0,0,0,2,1,1093591,2012
04/27/2012,away,10942,180,Delaware,9,True,16,1,15,win,16 - 1,776043,283,1,5.0,2,0,0,2,6,0,20,17,0,0,0,1,0,1,0,0,0,0,0,0,2,6,1,0,0,1,4,1093591,2012
05/04/2012,home,10942,500,Northeastern,9,True,5,7,-2,loss,5 - 7,777869,283,1,6.0,6,3,3,1,4,0,25,23,0,0,0,0,1,1,0,0,0,0,0,75,4,8,0,0,0,1,2,1093591,2012
05/11/2012,away,10942,711,Towson,9,True,3,4,-1,loss,3 - 4,779167,283,1,5.0,7,3,3,1,3,0,22,18,1,0,0,0,0,3,0,0,0,0,0,83,3,5,0,1,0,1,0,1093591,2012
05/18/2012,home,10942,786,William & Mary,11,True,10,9,1,win,10 - 9,780155,283,1,4.0,8,5,5,2,1,0,22,19,1,0,1,1,0,0,0,0,0,0,1,73,1,10,0,0,0,1,0,1093591,2012
05/25/2012,home,10942,180,Delaware,9,True,9,12,-3,loss,9 - 12,780659,283,1,6.1,7,5,5,3,3,0,32,27,2,0,1,1,0,2,0,0,0,0,0,111,8,8,0,0,0,1,1,1093591,2012
