date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/20/2016,home,12360,19651,High Point,9,True,13,5,8,win,13 - 5,292748,459,0,0,1.0,0.0,2,2,2,1,1,0,7,5,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,1767159,2016
02/23/2016,home,12360,1068,Elon,9,True,7,3,4,win,7 - 3,293428,459,0,0,2.1,0.0,2,0,0,0,3,0,9,9,0,0,0,0,0,0,0,2,1,0,0,0,2,2,1,0,0,2,1,1767159,2016
02/28/2016,home,12360,62,Binghamton,9,True,19,4,15,win,19 - 4,294397,459,0,0,2.2,0.0,1,0,0,3,1,0,11,7,0,0,0,0,0,1,0,1,1,0,0,0,2,3,1,0,0,2,0,1767159,2016
03/06/2016,home,12360,725,Army West Point,9,True,4,6,-2,loss,4 - 6,295887,459,0,0,1.0,0.0,1,1,1,1,0,0,5,2,0,0,0,0,0,0,0,2,1,1,1,0,2,1,0,0,0,3,0,1767159,2016
03/09/2016,away,12360,460,UNCW,9,True,4,8,-4,loss,4 - 8,296530,459,0,0,1.1,0.0,0,1,1,1,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,4,1,1767159,2016
03/11/2016,home,12360,301,Illinois,9,True,20,9,11,win,20 - 9,297013,459,0,0,1.2,0.0,2,1,1,1,1,0,8,7,0,1,0,0,2,0,0,3,2,0,0,35,1,3,0,0,0,4,0,1767159,2016
03/13/2016,away,12360,149,Coastal Carolina,9,True,4,7,-3,loss,4 - 7,297831,459,0,0,0.1,0.0,1,1,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,1,1767159,2016
03/20/2016,home,12360,386,Marist,9,True,16,4,12,win,16 - 4,299657,459,0,0,1.0,0.0,1,0,0,1,1,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,1,1767159,2016
03/24/2016,home,12360,251,Georgetown,9,True,17,9,8,win,17 - 9,300463,459,0,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,1767159,2016
03/26/2016,home,12360,251,Georgetown,9,True,5,4,1,win,5 - 4,301125,459,0,0,0.2,0.0,1,2,2,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1767159,2016
03/29/2016,home,12360,488,N.C. A&T,9,True,6,2,4,win,6 - 2,301850,459,0,0,2.0,0.0,0,0,0,1,0,0,7,5,0,0,0,0,0,0,0,0,0,1,0,26,2,4,0,0,0,2,0,1767159,2016
04/01/2016,home,12360,741,VMI,9,True,10,4,6,win,10 - 4,302371,459,0,0,1.0,0.0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1767159,2016
04/05/2016,away,12360,193,Duke,9,True,4,7,-3,loss,4 - 7,303629,459,0,0,1.0,0.0,0,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1767159,2016
