date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/18/2022,home,15860,817,Youngstown St.,9,True,3,1,2,win,3 - 1,5208327,61,1,2.0,0,1,1,1,1,4,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0,2677027,2022
02/22/2022,home,15860,231,FIU,9,True,4,9,-5,loss,4 - 9,5212970,61,1,5.2,0,9,7,7,0,5,0,27,25,1,1,0,1,1,1,0,0,0,0,1,80,9,3,0,1,0,1,0,0,2677027,2022
03/02/2022,home,15860,316,Jacksonville,9,True,4,3,1,win,4 - 3,5221461,61,1,6.0,0,2,1,1,3,7,0,24,20,0,0,0,0,0,1,0,0,0,0,0,99,3,8,1,0,0,1,0,0,2677027,2022
03/08/2022,home,15860,128,UCF,9,True,2,6,-4,loss,2 - 6,5228763,61,1,1.0,0,2,1,1,0,0,0,4,3,0,0,0,0,0,0,0,2,2,0,1,10,1,1,0,0,0,7,0,0,2677027,2022
03/13/2022,away,15860,365,LSU,9,True,0,15,-15,loss,0 - 15,5235045,61,1,1.0,0,7,8,8,0,1,0,11,10,2,0,0,1,1,1,0,0,0,0,0,38,1,1,0,1,0,1,0,0,2677027,2022
03/20/2022,home,15860,314,Jackson St.,9,True,8,7,1,win,8 - 7,5240746,61,1,6.2,0,8,2,1,0,6,0,27,27,0,0,0,0,0,0,0,0,0,0,0,94,9,2,1,0,0,1,1,0,2677027,2022
03/27/2022,home,15860,7,Alabama St.,9,True,3,6,-3,loss,3 - 6,5247924,61,1,6.0,0,5,4,1,1,5,0,27,24,0,0,0,0,0,2,0,0,0,0,0,94,5,7,0,1,0,1,3,0,2677027,2022
04/03/2022,away,15860,432,Mississippi Val.,9,True,17,13,4,win,17 - 13,5254848,61,1,3.2,0,6,10,3,3,6,0,22,19,0,0,0,2,1,0,1,0,0,0,0,71,3,1,0,0,0,1,0,0,2677027,2022
04/10/2022,home,15860,228,Florida A&M,13,True,3,6,-3,loss,3 - 6,5261283,61,1,5.1,0,6,2,2,2,4,0,24,22,1,0,0,0,0,0,0,0,0,0,0,78,5,7,0,0,0,1,0,0,2677027,2022
04/16/2022,away,15860,6,Alabama A&M,9,True,7,2,5,win,7 - 2,5266239,61,1,7.0,0,6,1,1,0,6,0,26,26,0,0,0,1,0,0,0,0,0,0,0,0,2,11,1,0,0,1,1,0,2677027,2022
04/24/2022,home,15860,432,Mississippi Val.,9,True,11,1,10,win,11 - 1,5274141,61,1,7.0,0,5,0,0,0,7,0,25,25,1,0,0,0,0,0,0,0,0,0,0,91,5,8,1,0,0,1,2,0,2677027,2022
05/01/2022,away,15860,7,Alabama St.,9,True,2,3,-1,loss,2 - 3,5281214,61,1,5.1,0,7,3,3,1,5,0,23,21,2,0,0,1,0,0,0,0,0,1,0,86,5,5,0,1,0,1,0,0,2677027,2022
05/07/2022,away,15860,314,Jackson St.,9,True,8,2,6,win,8 - 2,5288389,61,1,6.0,0,9,2,2,1,4,0,26,21,1,0,0,0,0,1,0,0,0,2,1,79,6,5,1,0,0,1,1,0,2677027,2022
05/15/2022,home,15860,6,Alabama A&M,9,True,12,1,11,win,12 - 1,5288010,61,1,6.0,0,4,1,1,1,9,0,23,22,0,0,0,1,1,0,0,0,0,0,0,105,7,2,1,0,0,1,3,0,2677027,2022
05/21/2022,away,15860,228,Florida A&M,9,True,1,6,-5,loss,1 - 6,5289534,61,1,5.0,0,10,4,2,1,4,0,26,25,0,0,0,0,0,0,1,0,0,0,0,0,5,6,0,1,0,1,2,0,2677027,2022
05/27/2022,home,15860,261,Grambling,9,True,19,0,19,win,19 - 0,5290418,61,1,7.0,1,4,0,0,0,7,1,25,25,2,0,0,0,1,0,0,0,0,0,0,102,5,9,1,0,0,1,1,0,2677027,2022
