App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,1.2,4,0,0,1,1,0,9,8,1,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,3,0,02/13/2015,neutral,12080,392,Maryland,9,True,3,7,-4,loss,404936,772,1531221,2015
0,0,2.0,3,2,2,1,1,0,10,7,1,0,1,0,0,2,0,0,0,0,0,0,2,1,0,0,0,2,0,02/24/2015,away,12080,14927,Belmont,9,True,1,9,-8,loss,406400,772,1531221,2015
0,0,2.1,0,0,0,0,1,0,7,7,0,0,0,0,0,0,0,2,0,0,0,15,0,6,1,0,0,2,0,03/24/2015,home,12080,334,Kentucky,9,True,12,3,9,win,412638,772,1531221,2015
0,0,1.1,1,0,0,1,0,0,5,4,0,0,0,0,0,0,0,1,0,0,0,20,1,2,0,0,0,2,0,03/28/2015,home,12080,9,UAB,9,True,5,6,-1,loss,413362,772,1531221,2015
0,0,0.1,2,3,3,1,0,0,4,3,1,0,1,1,0,0,0,1,1,0,0,18,1,0,0,0,0,2,0,04/03/2015,away,12080,366,Louisiana Tech,9,True,1,20,-19,loss,415329,772,1531221,2015
0,0,0.1,3,4,4,0,0,0,5,4,2,0,1,0,0,1,0,2,2,0,0,18,0,1,0,0,0,2,0,04/11/2015,home,12080,664,Southern Miss.,9,True,3,15,-12,loss,417319,772,1531221,2015
0,1,5.0,5,2,2,2,0,0,21,18,0,0,0,1,0,0,0,0,0,0,1,63,4,10,0,0,0,1,0,04/14/2015,away,12080,334,Kentucky,10,True,5,3,2,win,418645,772,1531221,2015
0,0,2.0,2,1,0,1,2,0,10,9,1,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,2,0,04/19/2015,away,12080,231,FIU,9,True,17,2,15,win,420394,772,1531221,2015
0,1,2.1,5,2,2,1,2,0,13,12,1,0,0,1,0,0,0,0,0,0,0,48,2,3,0,0,0,1,1,04/28/2015,home,12080,43,Austin Peay,10,True,6,5,1,win,422950,772,1531221,2015
0,0,2.2,4,1,1,0,2,0,12,12,0,1,1,0,0,0,0,1,1,0,0,51,2,4,0,0,0,3,0,05/14/2015,home,12080,229,Fla. Atlantic,9,True,2,13,-11,loss,425416,772,1531221,2015
