App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,1.0,0.0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,3,2,0,02/05/2022,home,15860,9754,UC-Colo. Springs,9,True,8,7,1,win,2185078,91,2304357,2022
1,0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,1,2,1,0,0,3,0,0,02/06/2022,home,15860,9754,UC-Colo. Springs,9,True,5,4,1,win,2167378,91,2304357,2022
1,0,3.2,0.0,0,0,0,1,0,0,11,10,0,0,0,0,0,0,0,1,0,0,0,33,5,5,1,0,0,4,0,0,02/11/2022,home,15860,205,Mont. St. Billings,9,True,15,8,7,win,2167500,91,2304357,2022
1,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,3,1,0,02/25/2022,away,15860,93,Cal St. San B'dino,9,True,11,5,6,win,2169050,91,2304357,2022
1,0,1.0,0.0,2,3,2,0,0,0,7,5,0,0,0,0,0,2,0,0,0,0,0,31,1,1,0,0,0,2,0,0,03/06/2022,home,15860,95,Chico St.,9,True,9,13,-4,loss,2170909,91,2304357,2022
1,0,1.0,0.0,3,3,3,0,0,0,7,6,0,0,0,1,0,1,0,0,0,0,0,22,1,2,0,0,0,3,0,0,03/12/2022,away,15860,30055,Cal St. Monterey Bay,9,True,3,8,-5,loss,2188691,91,2304357,2022
1,1,2.0,0.0,4,3,3,0,3,0,9,9,1,0,0,0,0,0,0,0,0,0,0,39,0,2,0,1,0,1,1,0,03/22/2022,home,15860,30220,Biola,9,True,2,6,-4,loss,2174287,91,2304357,2022
1,0,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,12,1,2,0,0,0,3,0,0,03/26/2022,away,15860,645,Sonoma St.,9,True,1,7,-6,loss,2187154,91,2304357,2022
1,0,3.0,0.0,2,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,31,1,6,1,0,0,2,0,0,04/09/2022,home,15860,628,San Fran. St.,9,True,6,5,1,win,2186270,91,2304357,2022
1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,2,1,0,04/15/2022,away,15860,103,Stanislaus St.,9,True,8,1,7,win,2179294,91,2304357,2022
1,0,1.0,0.0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,0,0,3,0,0,04/23/2022,home,15860,30198,Cal St. San Marcos,9,True,10,7,3,win,2180951,91,2304357,2022
1,0,0.1,0.0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,13,0,1,0,0,0,3,0,0,04/30/2022,away,15860,100,Cal State LA,9,True,11,12,-1,loss,2182487,91,2304357,2022
1,0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,3,0,0,05/05/2022,home,15860,92,Cal St. Dom. Hills,9,True,8,2,6,win,2183096,91,2304357,2022
1,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,05/07/2022,home,15860,92,Cal St. Dom. Hills,9,True,11,1,10,win,2183439,91,2304357,2022
1,0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,3,0,0,05/12/2022,home,15860,93,Cal St. San B'dino,9,True,16,5,11,win,2274305,91,2304357,2022
1,0,1.0,0.0,1,0,0,2,0,0,5,3,1,0,0,0,0,0,1,0,0,0,0,14,1,1,1,0,0,3,0,0,05/13/2022,neutral,15860,92,Cal St. Dom. Hills,9,True,8,5,3,win,2274440,91,2304357,2022
1,0,0.1,0.0,1,1,1,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,15,0,1,0,0,0,3,0,0,05/19/2022,neutral,15860,1274,Northwest Nazarene,9,True,7,10,-3,loss,2274913,91,2304357,2022
1,0,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4,0,0,05/19/2022,away,15860,30149,Point Loma,9,True,2,7,-5,loss,2275175,91,2304357,2022
