date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/18/2022,home,15860,328,Kansas,9,True,2,4,-2,loss,2 - 4,5213530,301,1,0.0,0,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,1989126,2022
02/26/2022,away,15860,149,Coastal Carolina,9,True,2,6,-4,loss,2 - 6,5217638,301,1,2.1,0,4,2,2,1,1,0,13,11,2,0,0,0,1,1,0,0,0,0,0,45,5,1,0,1,0,1,0,0,1989126,2022
03/06/2022,home,15860,328,Kansas,9,True,7,10,-3,loss,7 - 10,5226472,301,1,2.0,0,3,0,0,1,1,0,10,9,1,0,0,0,0,0,0,0,0,0,0,40,1,4,0,0,0,3,0,0,1989126,2022
03/08/2022,home,15860,201,Eastern Ill.,9,True,2,4,-2,loss,2 - 4,5228995,301,1,2.0,0,0,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,17,2,2,0,0,0,5,0,0,1989126,2022
03/13/2022,away,15860,772,Western Ky.,9,True,2,4,-2,loss,2 - 4,5233892,301,1,4.1,0,2,1,1,0,2,0,15,15,0,0,0,0,0,0,0,1,0,0,0,57,6,5,0,0,0,2,1,0,1989126,2022
03/20/2022,away,15860,659,Southern Ill.,10,True,5,7,-2,loss,5 - 7,5241084,301,1,2.2,0,4,2,2,0,1,0,10,9,1,0,0,0,0,0,0,2,2,0,1,48,2,3,0,0,0,2,0,0,1989126,2022
03/25/2022,away,15860,416,Michigan St.,9,True,9,2,7,win,9 - 2,5245277,301,1,0.1,0,3,1,1,1,0,0,4,3,2,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,1989126,2022
03/29/2022,home,15860,434,Missouri,9,True,7,11,-4,loss,7 - 11,5249920,301,1,2.2,0,5,4,4,0,2,0,13,13,1,0,0,1,0,0,0,0,0,0,0,43,5,1,0,1,0,1,0,0,1989126,2022
04/02/2022,home,15860,559,Purdue,9,True,11,10,1,win,11 - 10,5253965,301,1,0.2,0,3,2,2,0,1,0,5,5,0,0,0,1,0,0,0,1,1,0,0,13,1,0,0,0,0,3,0,0,1989126,2022
04/09/2022,away,15860,312,Iowa,13,True,7,5,2,win,7 - 5,5260247,301,1,0.2,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,4,0,0,1989126,2022
04/10/2022,away,15860,312,Iowa,9,True,9,5,4,win,9 - 5,5261507,301,1,0.1,0,0,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,12,1,0,0,0,0,2,0,0,1989126,2022
04/16/2022,home,15860,509,Northwestern,9,True,11,6,5,win,11 - 6,5267468,301,1,0.1,0,3,2,2,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,13,1,0,0,0,0,5,0,0,1989126,2022
04/22/2022,home,15860,392,Maryland,9,True,19,1,18,win,19 - 1,5271589,301,1,1.0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,3,2,0,1989126,2022
04/27/2022,away,15860,72,Bradley,9,True,9,6,3,win,9 - 6,5277269,301,1,4.2,0,1,0,0,1,3,0,16,15,0,0,0,0,1,0,0,3,1,0,0,58,5,6,1,0,0,2,1,0,1989126,2022
05/03/2022,home,15860,305,Indiana St.,9,True,6,3,3,win,6 - 3,5282339,301,1,5.0,0,5,3,2,2,2,0,22,20,1,0,0,0,1,0,0,0,0,0,0,74,4,8,1,0,0,1,1,0,1989126,2022
05/08/2022,home,15860,414,Miami (OH),9,True,6,2,4,win,6 - 2,5285187,301,1,5.1,0,6,1,1,0,3,0,21,21,2,0,0,0,0,0,0,1,1,0,0,80,10,2,1,0,0,2,0,0,1989126,2022
05/21/2022,away,15860,539,Penn St.,9,True,7,4,3,win,7 - 4,5289399,301,1,5.0,0,8,3,3,3,4,0,26,23,0,0,0,2,0,0,0,0,0,0,0,87,3,8,0,0,0,1,1,0,1989126,2022
05/27/2022,home,15860,306,Indiana,9,True,1,8,-7,loss,1 - 8,5290384,301,1,0.2,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,2,0,0,8,1,1,0,0,0,5,0,0,1989126,2022
