date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/23/2019,home,14781,165,Coppin St.,9,True,2,6,-4,loss,2 - 6,4717029,14,1,0.2,0,1,2,2,3,1,0,6,2,1,0,0,0,0,0,0,0,0,0,1,29,0,1,0,1,0,2,0,1771130,2019
03/02/2019,away,14781,340,La Salle,9,True,6,13,-7,loss,6 - 13,4720079,14,1,1.0,0,2,4,0,1,1,0,8,6,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0,1771130,2019
03/09/2019,away,14781,363,Longwood,9,True,6,8,-2,loss,6 - 8,4728347,14,1,1.2,0,1,1,1,0,3,0,6,6,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,3,1,1771130,2019
03/16/2019,away,14781,272,Hartford,9,True,5,6,-1,loss,5 - 6,4737477,14,1,0.1,0,2,1,1,1,1,0,5,3,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,1771130,2019
03/20/2019,away,14781,127,Central Conn. St.,9,True,6,9,-3,loss,6 - 9,4742387,14,1,0.0,0,1,3,1,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,1771130,2019
03/27/2019,away,14781,310,Iona,12,True,5,4,1,win,5 - 4,4750464,14,1,3.0,0,4,1,1,1,2,0,14,11,0,0,0,0,0,0,0,0,0,1,1,51,4,2,0,0,0,2,0,1771130,2019
03/31/2019,home,14781,62,Binghamton,9,True,3,15,-12,loss,3 - 15,4755921,14,1,1.0,0,1,0,0,0,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0,14,2,0,0,0,0,5,0,1771130,2019
04/02/2019,away,14781,386,Marist,9,True,10,2,8,win,10 - 2,4756418,14,1,1.0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,15,0,3,1,0,0,3,0,1771130,2019
04/06/2019,away,14781,368,UMass Lowell,9,True,11,3,8,win,11 - 3,4761231,14,1,3.0,0,1,0,0,0,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,38,4,2,0,0,1,2,3,1771130,2019
04/09/2019,away,14781,603,St. John's (NY),9,True,4,5,-1,loss,4 - 5,4763994,14,1,0.1,0,1,2,2,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,4,0,1771130,2019
04/17/2019,home,14781,310,Iona,9,True,1,13,-12,loss,1 - 13,4773050,14,1,0.1,0,1,4,4,2,1,0,5,2,0,0,0,0,1,1,0,0,0,0,0,20,0,0,0,0,0,3,1,1771130,2019
04/19/2019,away,14781,683,Stony Brook,9,True,3,8,-5,loss,3 - 8,4774440,14,1,0.0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1771130,2019
04/24/2019,home,14781,222,Fairleigh Dickinson,9,True,8,2,6,win,8 - 2,4779136,14,1,2.0,0,0,0,0,2,3,0,8,6,0,0,0,0,0,0,0,0,0,0,0,31,0,3,1,0,0,2,2,1771130,2019
04/30/2019,home,14781,236,Fordham,10,True,5,7,-2,loss,5 - 7,4784916,14,1,0.2,0,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,3,0,1771130,2019
05/14/2019,away,14781,590,Sacred Heart,9,True,5,3,2,win,5 - 3,4791480,14,1,2.0,0,0,1,1,3,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,36,1,5,0,0,0,3,0,1771130,2019
05/23/2019,home,14781,62,Binghamton,9,True,4,18,-14,loss,4 - 18,4794829,14,1,1.0,0,4,4,1,0,1,0,8,7,0,0,0,0,0,0,0,0,0,0,1,27,0,2,0,0,0,2,1,1771130,2019
