App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,1,3,1,0,02/16/2024,neutral,16580,5,Akron,9,True,3,1,2,win,4492208,301,2305152,2024,1
1,0,1.0,0.0,0,1,1,1,1,0,5,3,0,0,0,0,2,1,0,0,0,0,0,22,2,0,0,0,0,4,0,0,02/25/2024,neutral,16580,47,Ball St.,9,True,1,7,-6,loss,4492213,301,2305152,2024,1
1,0,2.0,0.0,1,0,0,2,2,0,8,6,0,0,0,0,1,0,0,1,0,0,0,24,1,2,1,0,0,4,0,0,03/02/2024,neutral,16580,774,Western Mich.,10,True,8,6,2,win,4780687,301,2305152,2024,1
1,0,1.0,0.0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,4,0,0,03/03/2024,neutral,16580,416,Michigan St.,9,True,12,6,6,win,4780667,301,2305152,2024,1
1,0,0.1,0.0,1,2,2,2,1,0,4,2,0,0,0,1,0,0,0,2,2,0,0,19,0,0,0,0,0,4,0,0,03/10/2024,away,16580,694,Tennessee,9,True,3,8,-5,loss,4492216,301,2305152,2024,1
1,0,1.2,0.0,4,5,3,2,2,0,12,8,0,0,0,1,0,0,0,0,0,1,1,43,1,2,0,0,0,2,1,0,03/19/2024,home,16580,72,Bradley,9,True,12,10,2,win,4492221,301,2305152,2024,1
1,1,4.0,0.0,3,1,1,0,7,0,15,15,0,0,0,1,1,0,0,0,0,0,0,57,3,2,0,0,0,1,1,0,03/26/2024,neutral,16580,434,Missouri,9,True,11,3,8,win,4780688,301,2305152,2024,1
1,0,1.0,0.0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,1,3,0,0,03/30/2024,home,16580,539,Penn St.,9,True,17,6,11,win,5256260,301,2305152,2024,1
1,0,2.0,0.0,1,3,3,2,1,0,10,7,1,0,0,0,0,1,0,0,0,0,0,33,2,3,1,0,0,2,0,0,04/06/2024,away,16580,428,Minnesota,9,True,7,4,3,win,4491932,301,2305152,2024,1
1,0,1.1,0.0,1,1,0,0,0,0,6,6,0,0,0,0,1,0,0,2,0,0,0,18,1,3,0,0,0,2,0,0,04/13/2024,home,16580,503,NIU,9,True,16,5,11,win,4492225,301,2305152,2024,1
1,0,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,15,1,2,0,0,0,2,0,0,04/20/2024,home,16580,509,Northwestern,9,True,7,1,6,win,4492229,301,2305152,2024,1
1,0,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,0,2,0,0,04/23/2024,home,16580,771,Western Ill.,9,True,12,1,11,win,4492231,301,2305152,2024,1
1,0,0.1,0.0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,6,1,0,0,0,0,4,0,0,04/27/2024,away,16580,392,Maryland,9,True,8,9,-1,loss,4492198,301,2305152,2024,1
1,1,1.1,0.0,5,3,3,1,0,0,9,7,2,0,0,1,0,0,0,0,0,1,0,28,1,2,0,1,0,1,0,1,04/28/2024,away,16580,392,Maryland,9,True,7,11,-4,loss,4492199,301,2305152,2024,1
