App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,1.0,0.0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,2,0,02/18/2024,home,16580,342,Lafayette,9,True,13,1,12,win,4526114,198,2337778,2024,1
1,0,1.0,0.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,4,1,0,02/21/2024,away,16580,694,Tennessee,9,True,0,16,-16,loss,4526407,198,2337778,2024,1
1,0,1.2,0.0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1,0,0,0,21,0,4,0,0,1,5,1,0,02/23/2024,home,16580,576,Rider,9,True,3,1,2,win,4526562,198,2337778,2024,1
1,0,2.2,0.0,2,1,1,2,2,0,11,9,0,0,1,1,1,0,0,1,1,0,0,38,3,2,0,0,0,6,0,0,02/27/2024,home,16580,27,App State,9,True,6,9,-3,loss,4527562,198,2337778,2024,1
1,0,3.0,0.0,1,0,0,1,4,0,12,11,1,0,0,0,2,0,0,0,0,0,0,36,3,3,0,0,1,2,1,0,03/03/2024,home,16580,748,Wagner,9,True,6,3,3,win,4528501,198,2337778,2024,1
1,0,2.0,0.0,2,0,0,0,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,38,2,2,0,0,1,3,1,0,03/10/2024,home,16580,317,James Madison,9,True,7,6,1,win,4530205,198,2337778,2024,1
1,0,0.2,0.0,2,2,2,2,0,0,5,3,1,0,0,0,1,0,0,3,0,0,0,28,0,1,0,0,0,2,0,0,03/17/2024,home,16580,739,Villanova,9,True,8,15,-7,loss,4531603,198,2337778,2024,1
1,0,3.0,0.0,3,0,0,1,1,0,12,9,1,0,0,0,0,0,0,1,1,1,1,44,6,1,1,0,0,5,0,0,03/24/2024,away,16580,769,Western Caro.,12,True,9,8,1,win,4533061,198,2337778,2024,1
1,0,0.1,0.0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,1,9,0,0,04/02/2024,away,16580,456,UNC Asheville,9,True,5,2,3,win,4534756,198,2337778,2024,1
1,0,3.0,0.0,2,1,1,1,4,0,13,12,1,0,0,1,0,0,0,0,0,0,0,49,1,3,0,0,1,3,1,0,04/07/2024,home,16580,406,Mercer,9,True,11,4,7,win,4535944,198,2337778,2024,1
1,0,1.0,0.0,3,3,3,1,0,0,8,6,1,0,0,1,0,1,0,0,0,0,0,31,2,1,0,0,0,4,0,0,04/19/2024,away,16580,559,Purdue,9,True,9,7,2,win,4492453,198,2337778,2024,1
