date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
03/05/2019,home,14781,129,Central Mich.,9,True,4,14,-10,loss,4 - 14,4725454,617,1,1.2,0,3,2,2,2,1,0,8,6,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,6,0,1895405,2019
03/16/2019,away,14781,127,Central Conn. St.,9,True,6,9,-3,loss,6 - 9,4738289,617,1,0.0,0,3,2,2,0,0,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1895405,2019
03/19/2019,home,14781,14,UAlbany,9,True,7,9,-2,loss,7 - 9,4748203,617,1,0.2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,0,1895405,2019
03/27/2019,away,14781,352,Lehigh,9,True,5,13,-8,loss,5 - 13,4750108,617,1,0.1,0,0,3,3,3,1,0,4,1,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,4,1,1895405,2019
03/30/2019,home,14781,439,Monmouth,9,True,4,18,-14,loss,4 - 18,4756871,617,1,0.1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,5,0,1895405,2019
04/07/2019,home,14781,576,Rider,9,True,7,6,1,win,7 - 6,4762850,617,1,2.0,0,1,3,2,2,2,0,11,7,0,1,0,0,0,2,0,0,0,0,0,0,1,3,1,0,0,2,0,1895405,2019
04/13/2019,home,14781,220,Fairfield,9,True,2,8,-6,loss,2 - 8,4768928,617,1,1.2,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,2,0,0,0,3,2,0,0,0,3,0,1895405,2019
04/16/2019,home,14781,748,Wagner,9,True,6,17,-11,loss,6 - 17,4772809,617,1,1.0,0,4,5,5,1,1,0,9,7,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0,1895405,2019
04/24/2019,home,14781,236,Fordham,10,True,5,8,-3,loss,5 - 8,4779253,617,1,1.2,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,4,0,1895405,2019
04/28/2019,home,14781,222,Fairleigh Dickinson,9,True,1,9,-8,loss,1 - 9,4783517,617,1,1.0,0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1895405,2019
05/01/2019,home,14781,352,Lehigh,9,True,8,6,2,win,8 - 6,4785170,617,1,2.0,0,0,0,0,4,4,0,10,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,1895405,2019
05/07/2019,away,14781,471,NJIT,9,True,11,18,-7,loss,11 - 18,4789406,617,1,0.2,0,0,3,3,3,1,0,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,1895405,2019
05/12/2019,away,14781,381,Manhattan,9,True,2,15,-13,loss,2 - 15,4791584,617,1,1.0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,3,1,0,1,13,0,1,0,0,0,8,0,1895405,2019
05/17/2019,home,14781,310,Iona,9,True,12,7,5,win,12 - 7,4792941,617,1,2.2,0,0,0,0,0,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,3,0,1895405,2019
