date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/20/2021,away,15580,90,Cal Poly,9,True,2,1,1,win,2 - 1,5004295,466,1,0,4.0,0.0,4,1,1,1,4,0,16,15,1,1,0,0,0,0,0,0,0,0,0,62,3,4,1,0,0,2,1,0,2475149,2021
02/27/2021,away,15580,465,UNLV,9,True,3,8,-5,loss,3 - 8,5010435,466,1,0,3.0,0.0,7,4,4,2,6,0,18,16,4,1,0,0,0,0,0,0,0,0,0,76,1,2,0,0,0,2,0,0,2475149,2021
03/02/2021,away,15580,28,Arizona St.,9,True,4,13,-9,loss,4 - 13,5014273,466,1,0,0.2,0.0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,1,4,0,1,0,0,0,4,0,0,2475149,2021
03/12/2021,away,15580,657,Southern California,9,True,1,3,-2,loss,1 - 3,5022709,466,1,0,3.0,0.0,1,1,0,2,3,0,11,9,0,0,0,0,0,0,0,2,1,0,0,47,3,2,0,0,0,2,0,0,2475149,2021
03/20/2021,home,15580,96,Fresno St.,9,True,7,6,1,win,7 - 6,5085247,466,1,0,3.2,0.0,7,3,3,0,2,0,18,16,1,1,0,0,0,1,0,0,0,0,1,56,5,3,0,0,0,2,0,1,2475149,2021
03/27/2021,away,15580,473,New Mexico,11,True,5,6,-1,loss,5 - 6,5039506,466,1,1,6.0,0.0,6,1,1,2,6,0,27,24,1,0,0,0,1,1,0,0,0,0,0,0,6,6,0,0,0,1,1,0,2475149,2021
04/02/2021,home,15580,721,Air Force,9,True,1,2,-1,loss,1 - 2,5045053,466,1,1,6.0,0.0,6,1,1,2,3,0,24,22,1,0,0,0,0,0,0,0,0,0,0,98,5,8,0,0,0,1,0,0,2475149,2021
04/10/2021,away,15580,626,San Diego St.,9,True,7,15,-8,loss,7 - 15,5053026,466,1,1,4.0,0.0,6,6,6,4,4,0,22,17,4,0,0,1,0,0,0,0,0,0,1,92,3,5,0,0,0,1,1,0,2475149,2021
04/14/2021,away,15580,703,Texas,9,True,5,6,-1,loss,5 - 6,5056514,466,1,0,3.0,0.0,3,1,1,1,1,0,13,12,2,0,0,0,0,0,0,0,0,0,0,45,6,2,0,0,0,2,0,0,2475149,2021
04/24/2021,away,15580,721,Air Force,9,True,3,6,-3,loss,3 - 6,5065046,466,1,1,7.0,0.0,8,5,5,3,5,0,30,26,3,0,0,1,1,1,0,0,0,0,0,99,6,7,0,1,0,1,1,0,2475149,2021
04/30/2021,home,15580,626,San Diego St.,9,True,14,4,10,win,14 - 4,5069806,466,1,1,2.1,0.0,3,3,3,2,4,0,13,9,1,0,0,0,0,1,0,0,0,0,1,49,0,3,0,0,0,1,0,0,2475149,2021
05/08/2021,home,15580,465,UNLV,9,True,6,5,1,win,6 - 5,5076056,466,1,1,4.2,0.0,5,4,4,2,3,0,22,19,1,0,0,2,0,1,0,0,0,0,0,68,4,7,0,0,0,1,1,0,2475149,2021
05/15/2021,away,15580,96,Fresno St.,9,True,9,6,3,win,9 - 6,5078843,466,1,1,6.1,0.0,6,4,4,0,3,0,24,23,2,0,0,1,0,0,0,0,0,1,0,86,9,6,1,0,0,1,2,0,2475149,2021
05/29/2021,home,15580,630,San Jose St.,9,True,14,10,4,win,14 - 10,5082399,466,1,1,5.0,0.0,7,6,4,0,4,0,23,22,1,0,0,1,0,1,0,0,0,0,0,76,7,3,0,0,0,1,0,0,2475149,2021
06/05/2021,home,15580,493,North Dakota St.,9,True,1,6,-5,loss,1 - 6,5082835,466,1,1,0.1,0.0,3,4,4,1,1,0,5,4,0,1,0,1,0,0,0,0,0,0,0,25,0,0,0,1,0,1,0,0,2475149,2021
