date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/26/2021,away,15580,1045,DBU,9,True,2,13,-11,loss,2 - 13,5008884,260,1,0,1.1,0.0,2,2,2,3,1,0,8,5,1,0,0,0,0,0,0,0,0,0,0,38,1,1,0,0,0,2,0,0,2312845,2021
03/12/2021,away,15580,698,TCU,9,True,13,8,5,win,13 - 8,5022804,260,1,0,0.2,0.0,1,3,3,1,0,0,5,2,0,0,0,0,0,1,0,0,0,0,1,23,0,2,0,0,0,2,0,0,2312845,2021
03/26/2021,away,15580,370,LMU (CA),9,True,1,7,-6,loss,1 - 7,5037759,260,1,0,4.0,0.0,2,0,0,0,7,0,14,14,1,0,0,0,0,0,0,0,0,0,0,50,3,2,0,0,0,2,1,0,2312845,2021
04/05/2021,away,15580,528,Oregon St.,9,True,3,11,-8,loss,3 - 11,5048110,260,1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,4,1,0,2312845,2021
04/10/2021,home,15580,610,Saint Mary's (CA),9,True,21,3,18,win,21 - 3,5052974,260,1,0,1.1,0.0,0,0,0,1,2,0,5,4,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,2312845,2021
04/22/2021,home,15580,77,BYU,9,True,12,1,11,win,12 - 1,5064540,260,1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2312845,2021
04/27/2021,home,15580,754,Washington St.,9,True,7,5,2,win,7 - 5,5068586,260,1,0,2.1,0.0,6,3,3,0,1,0,12,12,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,2312845,2021
05/14/2021,away,15580,551,Portland,9,True,12,4,8,win,12 - 4,5078369,260,1,0,1.0,0.0,2,1,1,1,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,24,2,1,0,0,0,3,0,0,2312845,2021
05/18/2021,away,15580,529,Oregon,9,True,3,10,-7,loss,3 - 10,5079639,260,1,0,2.2,0.0,2,1,1,3,1,0,13,9,0,0,0,0,0,0,0,2,1,0,1,44,4,3,0,0,0,2,0,0,2312845,2021
05/23/2021,home,15580,629,San Francisco,9,True,1,11,-10,loss,1 - 11,5081380,260,1,0,1.1,0.0,1,1,1,2,0,0,7,5,1,0,0,0,3,0,0,1,1,0,0,0,3,1,0,0,0,2,0,0,2312845,2021
