date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
03/07/2021,home,15580,129,Central Mich.,9,True,1,12,-11,loss,1 - 12,5018546,786,1,3.0,0,2,2,2,1,3,0,12,9,2,0,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,2,3,1,2112889,2021
03/13/2021,away,15580,1014,Col. of Charleston,9,True,1,7,-6,loss,1 - 7,5024635,786,1,5.0,0,7,3,3,1,5,0,22,21,2,0,0,1,0,0,0,0,0,0,0,98,3,7,0,1,0,1,2,0,2112889,2021
03/20/2021,home,15580,460,UNCW,9,True,7,6,1,win,7 - 6,5031910,786,1,7.0,0,5,3,3,2,5,0,27,24,0,0,0,2,0,0,0,0,0,1,0,0,8,7,1,0,0,1,1,0,2112889,2021
03/27/2021,away,15580,740,VCU,9,True,3,6,-3,loss,3 - 6,5040559,786,1,4.0,0,3,2,2,4,5,0,19,14,0,0,0,0,2,1,0,0,0,0,0,80,1,5,0,0,0,1,1,0,2112889,2021
04/04/2021,away,15580,575,Richmond,9,True,4,5,-1,loss,4 - 5,5047125,786,1,7.0,0,7,3,3,2,4,0,30,27,1,0,0,3,0,0,0,0,0,1,0,101,6,11,0,0,0,1,1,0,2112889,2021
04/11/2021,away,15580,1068,Elon,9,True,0,8,-8,loss,0 - 8,5053471,786,1,3.0,0,6,4,4,0,3,0,17,13,1,0,0,1,1,2,0,0,0,1,1,59,2,4,0,1,0,1,1,0,2112889,2021
04/25/2021,home,15580,317,James Madison,9,True,1,0,1,win,1 - 0,5067328,786,1,7.0,0,5,0,0,0,5,0,26,26,1,0,0,0,0,0,0,0,0,0,0,0,4,12,1,0,0,1,0,0,2112889,2021
05/02/2021,away,15580,460,UNCW,9,True,0,1,-1,loss,0 - 1,5072039,786,1,6.2,0,5,1,1,3,3,0,28,23,1,1,0,0,0,1,1,0,0,1,0,101,7,9,0,0,0,1,0,0,2112889,2021
05/08/2021,home,15580,1014,Col. of Charleston,9,True,4,5,-1,loss,4 - 5,5075876,786,1,6.0,0,5,3,3,2,6,0,26,22,0,1,0,1,0,1,0,0,0,0,1,0,4,8,0,0,0,1,1,0,2112889,2021
05/16/2021,away,15580,317,James Madison,11,True,9,10,-1,loss,9 - 10,5079199,786,1,6.0,0,9,4,3,1,1,0,28,26,2,0,0,1,0,0,0,0,0,1,0,101,9,7,0,0,0,1,1,0,2112889,2021
05/27/2021,home,15580,711,Towson,9,True,7,3,4,win,7 - 3,5081880,786,1,7.1,0,3,1,1,2,5,0,27,25,1,0,0,0,1,0,0,0,0,0,0,109,3,14,1,0,0,1,1,0,2112889,2021
