App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,1,6.0,4,0,0,3,8,0,23,20,0,0,0,0,1,0,0,0,0,0,0,95,1,7,1,0,0,1,2,02/14/2015,home,12080,508,Northwestern St.,9,True,5,0,5,win,405235,716,1644151,2015
0,1,7.0,3,1,0,3,4,0,28,24,0,0,0,2,0,0,0,0,0,1,0,114,9,7,1,0,0,1,1,02/21/2015,neutral,12080,2711,North Florida,9,True,2,1,1,win,406136,716,1644151,2015
0,1,7.0,2,2,2,2,7,0,25,23,0,0,1,0,0,0,0,0,0,0,0,102,8,6,0,0,0,1,1,02/28/2015,home,12080,664,Southern Miss.,10,True,2,6,-4,loss,406740,716,1644151,2015
0,1,5.1,6,5,5,1,2,0,24,20,2,0,0,2,0,1,1,0,0,1,1,87,7,6,0,1,0,1,0,03/07/2015,away,12080,671,Louisiana,9,True,2,6,-4,loss,407867,716,1644151,2015
0,1,9.0,4,1,1,0,14,0,31,31,2,0,0,0,0,0,0,0,0,0,0,111,9,5,1,0,0,1,2,03/14/2015,home,12080,253,Ga. Southern,9,True,6,1,5,win,409916,716,1644151,2015
0,1,7.2,7,3,3,2,5,0,32,29,2,0,1,0,0,0,0,0,0,1,0,107,11,5,1,0,0,1,1,03/20/2015,home,12080,32,Little Rock,9,True,4,3,1,win,411311,716,1644151,2015
0,1,7.0,4,1,1,0,7,0,25,25,2,1,0,0,0,0,0,0,0,0,0,96,7,7,1,0,0,1,3,03/27/2015,home,12080,6,Alabama A&M,9,True,10,2,8,win,413114,716,1644151,2015
0,1,7.0,9,3,1,4,4,0,34,26,1,0,0,0,0,2,0,0,0,2,0,115,9,5,1,0,0,1,1,04/03/2015,away,12080,27,App State,9,True,6,3,3,win,415319,716,1644151,2015
0,1,9.0,7,1,1,3,5,0,36,27,1,0,0,1,0,1,0,0,0,4,1,114,8,11,1,0,0,1,1,04/11/2015,home,12080,30,Arkansas St.,9,True,3,1,2,win,417621,716,1644151,2015
0,1,5.0,7,7,7,2,1,0,25,21,1,0,0,0,0,1,0,0,0,1,0,0,8,6,0,1,0,1,1,04/18/2015,away,12080,702,UT Arlington,9,True,4,15,-11,loss,419900,716,1644151,2015
0,1,9.0,7,1,1,0,7,0,33,32,0,0,0,1,0,0,0,0,0,1,0,129,7,12,1,0,0,1,3,04/24/2015,home,12080,670,Texas St.,9,True,3,1,2,win,421435,716,1644151,2015
0,1,8.0,10,4,4,3,2,0,38,33,2,1,0,0,0,0,0,0,0,2,0,112,11,10,0,1,0,1,1,05/01/2015,away,12080,498,ULM,9,True,2,4,-2,loss,423394,716,1644151,2015
0,1,9.0,6,2,0,1,7,0,34,31,1,0,0,1,0,0,0,0,0,0,2,141,7,12,1,0,0,1,2,05/08/2015,home,12080,254,Georgia St.,9,True,4,2,2,win,424696,716,1644151,2015
0,1,7.1,6,1,1,1,6,0,30,28,3,0,0,1,0,0,0,0,0,0,0,121,6,10,0,0,0,1,2,05/14/2015,away,12080,646,South Alabama,10,True,2,1,1,win,425465,716,1644151,2015
0,1,3.1,8,10,10,4,5,0,22,17,3,0,2,0,0,0,0,0,0,1,0,95,4,1,0,1,0,1,2,05/21/2015,home,12080,671,Louisiana,9,True,8,12,-4,loss,426050,716,1644151,2015
