date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/21/2016,home,12360,742,Virginia Tech,9,True,0,12,-12,loss,0 - 12,293140,141,0,0,1.0,0.0,2,2,0,1,2,0,7,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1757070,2016
02/28/2016,home,12360,639,Siena,9,True,6,4,2,win,6 - 4,294313,141,0,0,0.2,0.0,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,4,0,1757070,2016
03/06/2016,home,12360,1014,Col. of Charleston,9,True,9,12,-3,loss,9 - 12,295784,141,0,1,0.1,0.0,1,5,4,4,1,0,6,2,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,1,0,1,0,1757070,2016
03/16/2016,home,12360,147,Clemson,9,True,4,5,-1,loss,4 - 5,298369,141,0,0,3.0,0.0,5,1,1,1,7,0,14,13,1,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,3,1,1757070,2016
03/22/2016,away,12360,10411,USC Upstate,9,True,1,14,-13,loss,1 - 14,300018,141,0,1,2.0,0.0,4,3,3,2,2,0,14,11,1,0,0,0,1,1,0,0,0,0,0,54,3,1,0,1,0,1,1,1757070,2016
03/30/2016,away,12360,149,Coastal Carolina,9,True,3,4,-1,loss,3 - 4,302098,141,0,0,3.1,0.0,0,0,0,2,2,0,13,9,0,0,0,0,0,2,0,0,0,0,0,51,3,4,0,0,0,2,1,1757070,2016
04/03/2016,away,12360,678,Stetson,9,True,5,11,-6,loss,5 - 11,303237,141,0,0,2.0,0.0,3,1,1,0,2,0,9,8,2,0,0,0,0,1,0,0,0,0,0,27,3,0,0,0,0,4,0,1757070,2016
04/10/2016,home,12360,459,UNC Greensboro,9,True,4,7,-3,loss,4 - 7,304804,141,0,0,1.1,0.0,3,2,2,1,0,0,7,6,2,0,0,0,0,0,0,1,0,0,0,27,1,2,0,0,0,3,0,1757070,2016
04/17/2016,away,12360,2915,Wofford,9,True,8,10,-2,loss,8 - 10,307035,141,0,0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,5,0,1757070,2016
04/19/2016,away,12360,253,Ga. Southern,9,True,2,10,-8,loss,2 - 10,307641,141,0,1,3.0,0.0,4,4,4,1,2,0,14,12,1,0,0,0,0,1,0,0,0,0,0,48,6,0,0,1,0,1,0,1757070,2016
04/24/2016,home,12360,769,Western Caro.,9,True,6,4,2,win,6 - 4,309125,141,0,0,0.2,0.0,0,0,0,2,0,0,4,2,0,0,0,0,1,0,0,2,1,0,0,15,0,2,0,0,0,2,0,1757070,2016
04/26/2016,away,12360,458,Charlotte,9,True,4,15,-11,loss,4 - 15,309561,141,0,0,2.0,0.0,3,2,0,0,1,0,12,11,0,0,0,0,0,1,0,0,0,0,0,34,4,1,0,0,0,4,0,1757070,2016
04/30/2016,home,12360,244,Furman,9,True,7,12,-5,loss,7 - 12,310620,141,0,0,1.2,0.0,1,1,0,0,2,0,6,6,0,0,0,0,1,0,0,2,2,0,0,27,2,1,0,0,0,2,0,1757070,2016
05/11/2016,home,12360,792,Winthrop,9,True,1,7,-6,loss,1 - 7,312703,141,0,0,0.1,0.0,2,2,2,0,1,0,5,3,0,0,0,0,0,2,0,2,2,0,0,15,0,0,0,0,0,6,0,1757070,2016
05/15/2016,home,12360,625,Samford,9,True,7,11,-4,loss,7 - 11,313335,141,0,1,1.1,0.0,3,5,5,2,0,0,9,7,0,0,0,2,0,0,0,0,0,0,0,37,3,1,0,1,0,1,0,1757070,2016
05/21/2016,away,12360,198,ETSU,9,True,6,10,-4,loss,6 - 10,313984,141,0,0,0.1,0.0,0,1,0,1,0,0,2,1,0,0,0,0,2,0,0,1,1,0,0,8,0,1,0,0,0,5,0,1757070,2016
