date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/18/2022,away,15860,551,Portland,9,True,2,12,-10,loss,2 - 12,5213483,169,1,3.1,0,3,4,2,3,5,0,19,14,0,0,0,2,0,2,0,0,0,0,0,76,1,4,0,1,0,1,3,0,2119916,2022
02/25/2022,away,15860,370,LMU (CA),9,True,14,2,12,win,14 - 2,5218861,169,1,4.1,0,5,2,2,3,3,0,21,18,0,0,0,0,2,0,0,0,0,0,0,93,3,7,0,0,0,1,0,0,2119916,2022
03/04/2022,home,15860,620,St. Thomas (MN),9,True,3,1,2,win,3 - 1,5223719,169,1,5.2,0,7,1,1,0,7,0,23,23,1,1,0,0,1,0,0,0,0,0,0,0,5,4,1,0,0,1,0,1,2119916,2022
03/10/2022,away,15860,1004,Central Ark.,9,True,10,3,7,win,10 - 3,5230206,169,1,6.0,0,4,3,3,2,8,0,23,20,1,0,0,1,0,0,0,0,0,0,1,101,2,7,1,0,0,1,3,1,2119916,2022
03/18/2022,home,15860,428,Minnesota,9,True,5,4,1,win,5 - 4,5238631,169,1,6.0,0,2,2,1,5,4,0,27,21,1,0,0,0,0,0,0,0,0,0,1,113,9,5,0,0,0,1,1,0,2119916,2022
03/25/2022,away,15860,782,Wichita St.,9,True,6,1,5,win,6 - 1,5245619,169,1,6.0,0,4,1,1,1,6,0,22,21,0,0,0,1,0,0,0,0,0,0,0,95,6,5,1,0,0,1,0,0,2119916,2022
03/29/2022,home,15860,463,Nebraska,9,True,3,2,1,win,3 - 2,5249796,169,1,1.2,0,2,1,1,0,3,0,8,7,1,0,0,0,0,0,0,0,0,1,0,32,2,0,0,0,0,1,2,0,2119916,2022
04/01/2022,home,15860,141,The Citadel,9,True,11,2,9,win,11 - 2,5252026,169,1,6.0,0,4,2,0,2,4,0,25,21,0,0,0,0,1,0,0,0,0,1,1,107,4,10,0,0,0,1,0,0,2119916,2022
04/08/2022,home,15860,251,Georgetown,9,True,8,5,3,win,8 - 5,5259742,169,1,6.0,0,6,5,4,4,7,0,27,23,1,2,0,0,0,0,0,0,0,0,0,107,5,5,1,0,0,1,3,0,2119916,2022
04/14/2022,away,15860,603,St. John's (NY),9,True,5,3,2,win,5 - 3,5264908,169,1,6.1,0,4,1,1,1,6,0,24,22,2,0,0,0,0,0,0,0,0,1,0,78,6,7,1,0,0,1,2,0,2119916,2022
04/18/2022,home,15860,29,Arizona,9,True,0,6,-6,loss,0 - 6,5268440,169,1,1.0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,2119916,2022
04/22/2022,home,15860,635,Seton Hall,9,True,8,1,7,win,8 - 1,5271538,169,1,7.0,0,3,0,0,1,6,0,27,25,1,0,0,0,0,1,0,0,0,0,0,105,6,9,1,0,0,1,0,0,2119916,2022
04/29/2022,away,15860,812,Xavier,9,True,8,7,1,win,8 - 7,5278521,169,1,6.0,0,6,4,4,1,9,0,25,24,1,0,0,2,2,0,0,0,0,0,0,111,5,3,0,0,0,1,1,0,2119916,2022
05/06/2022,away,15860,164,UConn,9,True,1,3,-2,loss,1 - 3,5283605,169,1,8.0,1,7,3,3,2,13,0,33,30,1,0,0,1,0,0,0,0,0,0,1,119,4,6,0,1,0,1,3,0,2119916,2022
05/13/2022,home,15860,87,Butler,9,True,3,1,2,win,3 - 1,5287603,169,1,9.0,1,3,1,1,1,15,0,31,29,1,0,0,0,1,0,0,0,0,0,1,117,5,7,1,0,0,1,2,0,2119916,2022
05/19/2022,away,15860,739,Villanova,9,True,7,1,6,win,7 - 1,5288821,169,1,5.0,0,7,1,1,1,9,0,24,23,0,0,0,1,1,0,0,0,0,0,0,78,2,4,1,0,0,1,3,0,2119916,2022
05/27/2022,home,15860,812,Xavier,9,True,6,5,1,win,6 - 5,5290383,169,1,5.2,0,6,3,3,6,7,0,28,22,3,0,0,1,0,0,0,0,0,0,0,110,4,5,0,0,0,1,2,0,2119916,2022
