App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,2.0,0.0,1,0,0,0,3,0,7,6,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,02/18/2022,home,15860,660,SIUE,9,True,1,0,1,win,2167901,655,2324163,2022
1,0,2.0,0.0,1,0,0,1,2,0,7,6,1,0,0,0,0,0,0,0,0,0,0,23,2,1,0,0,0,5,0,0,02/22/2022,away,15860,671,Louisiana,10,True,5,6,-1,loss,2168719,655,2324163,2022
1,0,1.0,0.0,2,1,1,2,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,02/25/2022,home,15860,9,UAB,9,True,7,4,3,win,2169060,655,2324163,2022
1,0,1.2,0.0,2,0,0,0,1,0,6,5,0,0,0,0,0,0,0,3,1,0,1,0,0,3,0,0,0,3,0,0,02/27/2022,home,15860,9,UAB,9,True,5,6,-1,loss,2169724,655,2324163,2022
1,0,2.0,0.0,0,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,5,0,0,03/02/2022,home,15860,366,Louisiana Tech,9,True,4,3,1,win,2170055,655,2324163,2022
1,0,2.2,0.0,1,0,0,0,3,0,9,8,1,0,0,0,0,0,0,3,1,0,1,43,1,4,0,0,1,3,1,0,03/04/2022,away,15860,31,Arkansas,9,True,7,3,4,win,2170242,655,2324163,2022
1,0,1.0,0.0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,2,0,0,03/11/2022,home,15860,692,Tennessee Tech,10,True,2,1,1,win,2171876,655,2324163,2022
1,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,03/15/2022,home,15860,433,Ole Miss,9,True,5,1,4,win,2172856,655,2324163,2022
1,0,0.2,0.0,2,3,3,1,1,0,6,4,1,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,3,0,0,03/18/2022,away,15860,625,Samford,9,True,4,10,-6,loss,2173107,655,2324163,2022
1,0,0.2,0.0,1,2,2,1,1,0,5,3,1,0,0,0,0,1,0,3,3,0,0,19,1,0,0,1,0,3,0,0,03/25/2022,home,15860,483,Nicholls,9,True,4,6,-2,loss,2174794,655,2324163,2022
1,0,2.0,0.0,3,1,1,0,3,0,9,7,2,0,0,0,0,1,0,0,0,0,1,31,0,2,0,0,0,6,2,1,03/27/2022,home,15860,483,Nicholls,9,True,7,10,-3,loss,2175527,655,2324163,2022
1,0,0.2,0.0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,1,15,1,1,0,0,0,4,0,0,04/01/2022,away,15860,2743,UIW,9,True,6,8,-2,loss,2176092,655,2324163,2022
1,0,2.0,0.0,1,0,0,1,0,0,8,5,0,0,0,0,0,0,0,0,0,2,0,25,4,2,0,0,1,3,0,0,04/03/2022,away,15860,2743,UIW,9,True,6,5,1,win,2176844,655,2324163,2022
1,0,2.0,0.0,0,0,0,0,3,0,8,6,0,0,0,0,1,2,0,0,0,0,0,38,2,1,0,0,1,5,2,0,04/09/2022,home,15860,26172,A&M-Corpus Christi,9,True,12,9,3,win,2178211,655,2324163,2022
1,0,1.0,0.0,2,1,1,1,3,0,6,5,1,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,5,1,0,04/10/2022,home,15860,26172,A&M-Corpus Christi,9,True,7,3,4,win,2178507,655,2324163,2022
1,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,1,3,0,0,04/14/2022,home,15860,474,New Orleans,9,True,5,4,1,win,2179101,655,2324163,2022
1,0,2.0,0.0,1,0,0,1,2,0,8,7,0,0,0,0,0,0,0,0,0,0,0,28,3,1,0,0,0,3,1,0,04/16/2022,home,15860,474,New Orleans,9,True,9,5,4,win,2179793,655,2324163,2022
1,0,1.0,0.0,2,0,0,0,0,0,6,5,1,0,0,0,0,1,0,0,0,0,0,22,2,1,1,0,0,7,0,0,04/19/2022,home,15860,646,South Alabama,9,True,8,6,2,win,2180246,655,2324163,2022
1,0,1.0,0.0,2,4,4,2,1,0,7,5,0,0,0,1,0,0,1,0,0,0,0,23,2,0,0,1,0,3,0,0,04/22/2022,away,15860,402,McNeese,11,True,3,7,-4,loss,2180705,655,2324163,2022
1,0,0.2,0.0,4,4,4,0,0,0,6,6,1,1,0,1,0,0,0,0,0,0,0,15,1,1,0,1,0,3,0,0,04/23/2022,away,15860,402,McNeese,9,True,4,6,-2,loss,2181191,655,2324163,2022
1,0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,1,4,0,0,04/29/2022,away,15860,508,Northwestern St.,9,True,6,4,2,win,2182166,655,2324163,2022
1,0,1.0,0.0,2,0,0,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,1,3,0,0,04/30/2022,away,15860,508,Northwestern St.,9,True,4,2,2,win,2182538,655,2324163,2022
1,0,1.0,0.0,1,0,0,1,1,0,6,4,0,0,0,0,0,1,0,0,0,0,0,22,1,1,0,0,1,3,1,0,05/06/2022,home,15860,287,Houston Christian,9,True,6,5,1,win,2183326,655,2324163,2022
