App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,1,3.2,0.0,1,2,2,5,0,0,16,10,0,0,0,0,1,0,0,0,0,0,1,62,4,6,0,0,0,1,0,0,02/18/2023,home,16340,635,Seton Hall,9,True,11,2,9,win,2390749,457,2117361,2023,1
1,0,0.2,0.0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,1,2,0,2,0,0,0,2,0,0,02/28/2023,home,16340,740,VCU,9,True,10,4,6,win,2392427,457,2117361,2023,1
1,1,1.2,0.0,3,3,3,1,2,0,9,7,1,0,0,0,0,0,0,0,0,0,1,40,1,2,0,0,0,1,1,0,03/08/2023,home,16340,539,Penn St.,9,True,15,5,10,win,2394081,457,2117361,2023,1
1,0,3.0,0.0,4,1,1,1,7,0,14,12,0,0,0,1,0,0,0,2,0,1,0,47,2,0,0,0,0,3,3,0,03/10/2023,home,16340,746,Virginia,9,True,3,7,-4,loss,2394464,457,2117361,2023,1
1,0,2.2,0.0,3,1,1,1,5,0,12,10,1,0,0,0,0,0,0,2,1,0,1,47,1,2,1,0,0,2,2,0,03/15/2023,home,16340,19651,High Point,9,True,16,2,14,win,2395707,457,2117361,2023,1
1,0,3.0,0.0,2,1,1,0,5,0,12,11,0,0,0,1,0,1,0,0,0,0,0,45,4,0,1,0,0,2,2,0,03/21/2023,home,16340,488,N.C. A&T,9,True,6,4,2,win,2397052,457,2117361,2023,1
1,0,3.0,0.0,1,0,0,1,5,0,11,10,0,0,0,0,0,0,0,0,0,0,0,41,2,2,0,0,1,2,2,0,03/25/2023,home,16340,193,Duke,9,True,5,3,2,win,2397948,457,2117361,2023,1
1,0,1.0,0.0,2,3,2,1,2,0,9,6,2,0,0,0,0,2,0,0,0,0,0,36,0,1,0,0,0,2,0,0,04/02/2023,away,16340,513,Notre Dame,9,True,1,9,-8,loss,2399741,457,2117361,2023,1
1,0,0.1,0.0,2,1,1,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,1,7,0,1,0,0,0,2,0,0,04/07/2023,away,16340,255,Georgia Tech,9,True,4,8,-4,loss,2401048,457,2117361,2023,1
1,0,1.2,0.0,3,1,1,1,0,0,8,7,0,0,0,1,0,0,0,0,0,0,0,43,1,3,0,0,0,5,0,1,04/11/2023,home,16340,11504,Queens (NC),9,True,10,6,4,win,2401506,457,2117361,2023,1
