date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/16/2014,away,11620,522,Oklahoma,9,True,6,15,-9,loss,6 - 15,587342,635,1,3.1,7,6,6,2,2,0,19,16,1,0,0,0,0,0,0,0,0,0,1,63,2,5,0,1,0,1,0,1438167,2014
02/23/2014,away,11620,575,Richmond,9,True,6,2,4,win,6 - 2,588637,635,1,4.1,2,0,0,1,3,0,16,15,0,0,0,0,0,0,0,2,0,0,0,0,6,4,1,0,0,2,1,1438167,2014
03/02/2014,away,11620,29,Arizona,9,True,11,2,9,win,11 - 2,589735,635,1,5.0,5,2,2,1,3,0,20,18,0,0,0,0,0,0,0,0,0,0,1,74,5,5,1,0,0,1,1,1438167,2014
03/10/2014,away,11620,317,James Madison,9,True,19,4,15,win,19 - 4,591475,635,1,3.1,6,3,3,1,2,0,16,15,1,1,1,0,0,0,0,0,0,0,0,56,6,1,0,0,0,1,1,1438167,2014
03/16/2014,home,11620,381,Manhattan,9,True,8,0,8,win,8 - 0,593229,635,1,3.0,2,0,0,1,3,0,11,9,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,2,1,1438167,2014
03/22/2014,away,11620,222,Fairleigh Dickinson,9,True,10,5,5,win,10 - 5,594976,635,1,6.0,3,0,0,0,2,0,22,22,1,0,0,0,0,0,0,2,0,0,0,76,5,11,1,0,0,2,2,1438167,2014
04/01/2014,away,11620,576,Rider,9,True,4,3,1,win,4 - 3,597040,635,1,6.0,4,1,1,1,4,0,24,22,1,0,1,0,0,1,0,0,0,0,0,0,4,10,1,0,0,1,1,1438167,2014
04/06/2014,away,11620,87,Butler,9,True,6,7,-1,loss,6 - 7,598671,635,1,1.2,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,1,1438167,2014
04/12/2014,home,11620,477,New York Tech,9,True,6,0,6,win,6 - 0,600610,635,1,6.0,2,0,0,2,5,0,22,19,0,0,0,1,0,1,0,0,0,0,0,0,1,11,1,0,0,1,3,1438167,2014
04/19/2014,away,11620,251,Georgetown,9,True,9,3,6,win,9 - 3,602518,635,1,7.0,8,1,1,0,5,0,27,25,1,0,0,0,0,0,0,0,0,1,1,92,6,8,1,0,0,1,1,1438167,2014
04/27/2014,home,11620,739,Villanova,9,True,3,1,2,win,3 - 1,605035,635,1,7.0,6,1,1,2,7,0,29,27,0,0,1,0,0,0,0,0,0,0,0,0,6,7,1,0,0,1,0,1438167,2014
05/04/2014,away,11620,169,Creighton,10,True,7,8,-1,loss,7 - 8,606603,635,1,4.1,7,3,3,0,2,0,21,17,2,1,0,0,0,1,0,0,0,2,1,67,4,7,0,0,0,1,1,1438167,2014
05/10/2014,home,11620,812,Xavier,9,True,7,3,4,win,7 - 3,607533,635,1,8.0,7,2,2,2,11,0,32,29,2,0,1,1,0,0,0,0,0,1,0,110,9,3,1,0,0,1,3,1438167,2014
05/17/2014,home,11620,603,St. John's (NY),9,True,5,4,1,win,5 - 4,608355,635,1,6.0,7,2,2,1,6,0,24,21,1,0,0,1,0,0,0,0,0,2,0,0,6,4,1,0,0,1,3,1438167,2014
05/23/2014,home,11620,169,Creighton,9,True,1,2,-1,loss,1 - 2,608655,635,1,7.0,7,2,2,1,2,0,28,27,1,1,0,0,0,0,0,0,0,0,0,82,9,9,0,1,0,1,1,1438167,2014
