date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/18/2014,home,11620,9,UAB,9,True,3,10,-7,loss,3 - 10,587557,6,1,0.1,1,2,1,3,1,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1548775,2014
02/21/2014,home,11620,649,South Dakota St.,9,True,5,12,-7,loss,5 - 12,587836,6,1,0.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1548775,2014
02/23/2014,home,11620,649,South Dakota St.,9,True,4,11,-7,loss,4 - 11,588536,6,1,0.2,0,1,1,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1548775,2014
02/27/2014,away,11620,28600,Lipscomb,9,True,5,18,-13,loss,5 - 18,588907,6,1,0.2,1,0,0,1,2,0,4,3,1,0,0,0,0,0,0,3,3,0,0,18,0,0,0,0,0,8,1,1548775,2014
03/15/2014,home,11620,7,Alabama St.,9,True,1,11,-10,loss,1 - 11,592829,6,1,1.1,0,2,2,4,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1548775,2014
03/25/2014,away,11620,254,Georgia St.,9,True,3,19,-16,loss,3 - 19,595404,6,1,0.1,3,1,1,0,0,0,4,4,1,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,4,0,1548775,2014
04/15/2014,away,11620,692,Tennessee Tech,9,True,1,7,-6,loss,1 - 7,601325,6,1,1.0,3,2,1,0,1,0,7,5,0,0,0,0,0,0,0,0,0,1,1,16,0,2,0,0,0,3,0,1548775,2014
04/19/2014,away,11620,7,Alabama St.,9,True,1,11,-10,loss,1 - 11,602623,6,1,0.0,2,0,0,1,0,0,3,2,0,0,0,0,0,0,0,3,3,0,0,15,0,0,0,0,0,4,0,1548775,2014
04/25/2014,away,11620,366,Louisiana Tech,9,True,5,7,-2,loss,5 - 7,603928,6,1,2.0,2,0,0,1,1,0,8,7,1,0,0,1,0,0,0,0,0,0,0,28,1,3,0,0,0,4,1,1548775,2014
05/06/2014,away,11620,625,Samford,9,True,1,5,-4,loss,1 - 5,606880,6,1,0.2,2,3,3,3,1,0,8,3,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1548775,2014
