date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/26/2021,away,15580,110,UCLA,9,True,3,4,-1,loss,3 - 4,5008906,109,1,3.0,0,0,0,0,1,1,0,9,8,0,0,0,0,0,0,0,0,0,0,0,34,2,5,0,0,0,2,0,0,2305169,2021
03/14/2021,away,15580,674,Stanford,9,True,6,8,-2,loss,6 - 8,5026032,109,1,1.0,0,3,4,4,1,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,29,2,0,0,1,0,1,1,0,2305169,2021
04/10/2021,home,15580,112,UC San Diego,9,True,11,1,10,win,11 - 1,5052879,109,1,1.0,0,3,0,0,0,1,0,6,6,1,0,0,0,0,0,0,1,1,0,0,29,1,1,0,0,0,2,0,0,2305169,2021
04/25/2021,home,15580,528,Oregon St.,12,True,7,6,1,win,7 - 6,5067159,109,1,1.2,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1,0,0,0,21,3,1,0,0,0,2,0,0,2305169,2021
05/01/2021,home,15580,99,Long Beach St.,9,True,4,13,-9,loss,4 - 13,5071607,109,1,1.2,0,5,2,2,2,2,0,11,9,1,0,0,1,1,0,0,2,2,0,0,44,1,1,0,0,0,2,0,0,2305169,2021
