date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/20/2022,home,15860,563,Radford,9,True,5,7,-2,loss,5 - 7,5212888,527,1,2.0,0,1,1,0,0,1,0,9,6,0,0,0,0,0,1,0,3,0,1,1,0,2,3,0,0,0,4,1,0,2460223,2022
02/22/2022,home,15860,669,Missouri St.,9,True,6,5,1,win,6 - 5,5214699,527,1,0.1,0,2,1,1,2,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2460223,2022
03/01/2022,home,15860,782,Wichita St.,9,True,11,6,5,win,11 - 6,5220256,527,1,1.0,0,2,1,1,1,1,0,6,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,2460223,2022
03/11/2022,away,15860,433,Ole Miss,9,True,2,16,-14,loss,2 - 16,5233846,527,1,1.1,0,2,4,4,3,0,0,10,6,1,0,0,1,0,1,0,1,1,0,0,0,1,3,0,0,0,3,0,0,2460223,2022
05/10/2022,home,15860,1004,Central Ark.,9,True,8,7,1,win,8 - 7,5286346,527,1,1.0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,16,2,1,0,0,0,2,0,0,2460223,2022
