App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,1,5.0,0.0,5,3,3,3,6,0,21,18,2,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,1,2,0,03/11/2022,away,15860,570,Rensselaer,9,True,8,5,3,win,2261984,420,2145180,2022
1,1,5.0,0.0,8,6,3,3,6,0,29,24,1,0,0,1,2,1,0,0,0,1,0,0,5,5,0,1,0,1,2,0,03/19/2022,neutral,15860,453,Muhlenberg,9,True,8,10,-2,loss,2263806,420,2145180,2022
1,1,5.0,0.0,5,5,5,3,7,0,23,20,2,0,0,0,1,0,0,0,0,0,0,0,3,5,0,0,0,1,2,0,03/25/2022,neutral,15860,713,Trinity (CT),10,True,9,10,-1,loss,2174621,420,2145180,2022
1,1,6.1,0.0,6,4,4,2,11,0,26,23,1,1,0,0,2,0,0,0,0,1,0,112,6,1,0,1,0,1,4,0,04/02/2022,away,15860,267,Hamilton,9,True,2,4,-2,loss,2185807,420,2145180,2022
1,1,5.0,0.0,3,1,1,1,9,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,1,2,0,04/10/2022,home,15860,151,Colby,9,True,16,5,11,win,2178150,420,2145180,2022
1,1,6.2,0.0,4,4,0,5,4,0,29,22,0,0,0,0,1,0,0,0,0,2,0,0,6,8,0,0,0,1,1,0,04/15/2022,home,15860,789,Williams,9,True,5,4,1,win,2179413,420,2145180,2022
1,1,7.0,0.0,3,0,0,1,9,0,26,25,1,0,0,0,0,0,0,0,0,0,0,0,5,7,1,0,0,1,4,0,04/22/2022,home,15860,24,Amherst,9,True,16,0,16,win,2180652,420,2145180,2022
1,0,1.0,0.0,0,1,1,4,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,3,0,0,04/27/2022,away,15860,267,Hamilton,9,True,10,8,2,win,2270662,420,2145180,2022
1,1,5.0,0.0,4,1,1,3,6,0,21,18,1,0,0,0,0,0,0,0,0,0,0,98,5,3,1,0,0,1,4,0,04/30/2022,away,15860,764,Wesleyan (CT),9,True,5,1,4,win,2182430,420,2145180,2022
1,1,6.1,0.0,6,3,3,3,10,0,28,25,1,0,0,2,1,0,0,0,0,0,0,0,5,4,0,0,0,1,2,0,05/07/2022,home,15860,717,Tufts,9,True,4,3,1,win,2272388,420,2145180,2022
1,1,4.0,0.0,7,5,2,0,5,0,20,20,1,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,05/13/2022,neutral,15860,24,Amherst,9,True,14,8,6,win,2273737,420,2145180,2022
1,1,6.0,0.0,7,3,2,0,7,0,25,24,1,0,0,1,0,1,0,0,0,0,0,119,5,5,1,0,0,1,1,0,05/20/2022,away,15860,581,Rochester (NY),9,True,10,5,5,win,2274981,420,2145180,2022
1,1,2.0,0.0,1,0,0,0,3,0,7,7,1,0,0,0,0,0,0,0,0,0,0,30,1,2,0,0,0,1,1,0,05/22/2022,neutral,15860,200,Eastern Conn. St.,9,True,4,5,-1,loss,2275273,420,2145180,2022
