date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/24/2013,away,11320,392,Maryland,9,True,0,8,-8,loss,0 - 8,659694,514,1,0.1,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1310011,2013
03/09/2013,away,11320,519,Ohio,9,True,3,12,-9,loss,3 - 12,662476,514,1,0.2,1,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,1310011,2013
03/17/2013,away,11320,175,Dayton,9,True,5,8,-3,loss,5 - 8,664795,514,1,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1310011,2013
03/24/2013,home,11320,416,Michigan St.,9,True,0,7,-7,loss,0 - 7,666773,514,1,0.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1310011,2013
03/30/2013,away,11320,301,Illinois,9,True,8,21,-13,loss,8 - 21,668234,514,1,1.0,2,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,15,0,3,0,0,0,4,0,1310011,2013
04/10/2013,away,11320,129,Central Mich.,9,True,4,7,-3,loss,4 - 7,671242,514,1,1.0,0,1,0,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1310011,2013
04/27/2013,home,11320,649,South Dakota St.,9,True,1,8,-7,loss,1 - 8,676578,514,1,0.1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1310011,2013
05/08/2013,home,11320,129,Central Mich.,9,True,9,13,-4,loss,9 - 13,678604,514,1,1.0,1,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1310011,2013
05/10/2013,home,11320,464,Omaha,12,True,2,8,-6,loss,2 - 8,678924,514,1,0.1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1310011,2013
05/16/2013,home,11320,771,Western Ill.,9,True,2,1,1,win,2 - 1,679604,514,1,1.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1310011,2013
05/18/2013,home,11320,771,Western Ill.,11,True,12,11,1,win,12 - 11,680027,514,1,0.1,1,1,1,2,0,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1310011,2013
