date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/21/2021,away,15580,746,Virginia,9,True,2,4,-2,loss,2 - 4,5004914,164,1,1.0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,4,0,0,2462251,2021
03/08/2021,away,15580,149,Coastal Carolina,9,True,10,12,-2,loss,10 - 12,5027255,164,1,1.2,0,2,3,3,0,1,0,8,6,0,0,0,1,1,2,0,1,0,0,0,27,2,1,0,0,0,2,0,0,2462251,2021
03/14/2021,away,15580,700,Texas Tech,9,True,13,15,-2,loss,13 - 15,5025924,164,1,2.0,0,4,4,3,3,4,0,13,10,1,1,0,1,0,0,0,0,0,0,0,62,2,0,0,0,0,4,2,0,2462251,2021
03/27/2021,home,15580,572,Rhode Island,9,True,4,6,-2,loss,4 - 6,5056586,164,1,1.1,0,1,1,1,0,2,0,5,5,0,0,0,1,0,0,0,4,0,0,0,22,2,0,0,0,0,2,2,0,2462251,2021
04/02/2021,home,15580,400,Massachusetts,9,True,9,2,7,win,9 - 2,5044454,164,1,1.0,0,1,2,2,2,2,0,6,4,1,0,0,0,1,0,0,0,0,0,0,26,0,1,0,0,0,2,1,0,2462251,2021
04/26/2021,away,15580,812,Xavier,12,True,15,13,2,win,15 - 13,5068035,164,1,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,7,0,0,2462251,2021
04/27/2021,away,15580,812,Xavier,9,True,5,6,-1,loss,5 - 6,5068133,164,1,1.0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,11,1,1,0,0,0,3,0,0,2462251,2021
05/01/2021,home,15580,83,Bucknell,9,True,9,1,8,win,9 - 1,5071054,164,1,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,3,0,0,2462251,2021
05/18/2021,away,15580,572,Rhode Island,9,True,15,6,9,win,15 - 6,5079576,164,1,0.1,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,0,1,0,0,0,11,0,0,0,0,0,3,1,0,2462251,2021
06/05/2021,home,15580,513,Notre Dame,9,True,3,26,-23,loss,3 - 26,5082853,164,1,3.1,0,10,9,9,0,5,0,20,20,1,0,0,3,0,0,0,3,3,0,0,73,3,2,0,0,0,4,2,0,2462251,2021
