date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/17/2012,home,10942,204,Eastern Mich.,9,True,12,1,11,win,12 - 1,755534,10411,1,1.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,4,0,1305217,2012
02/20/2012,home,10942,334,Kentucky,9,True,0,6,-6,loss,0 - 6,756330,10411,1,1.0,1,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,7,1,1305217,2012
02/25/2012,home,10942,202,Eastern Ky.,9,True,6,4,2,win,6 - 4,756877,10411,1,0.0,2,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,1305217,2012
03/14/2012,away,10942,244,Furman,9,True,7,10,-3,loss,7 - 10,761986,10411,1,1.0,1,1,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,15,1,1,0,0,0,3,0,1305217,2012
03/20/2012,home,10942,488,N.C. A&T,9,True,11,6,5,win,11 - 6,763863,10411,1,4.0,2,1,0,1,2,0,15,14,1,0,0,0,0,0,0,0,0,0,0,59,3,7,0,0,1,3,0,1305217,2012
03/27/2012,home,10942,458,Charlotte,9,True,6,12,-6,loss,6 - 12,766115,10411,1,1.2,2,1,1,0,2,0,8,7,0,1,0,0,0,1,0,3,2,0,0,25,1,2,0,0,0,3,0,1305217,2012
04/03/2012,home,10942,173,Davidson,9,True,7,8,-1,loss,7 - 8,768313,10411,1,2.0,2,1,1,1,3,0,9,7,1,0,0,0,0,0,0,0,0,1,0,38,2,1,0,1,0,3,0,1305217,2012
04/07/2012,away,10942,14927,Belmont,9,True,1,7,-6,loss,1 - 7,769943,10411,1,0.2,2,1,1,1,1,0,5,4,1,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,3,0,1305217,2012
04/10/2012,home,10942,48,Charleston So.,9,True,7,5,2,win,7 - 5,770632,10411,1,3.0,3,1,1,1,1,0,12,10,0,0,0,0,0,0,0,0,0,1,0,35,6,1,1,0,0,2,1,1305217,2012
04/17/2012,away,10942,488,N.C. A&T,9,True,9,6,3,win,9 - 6,773244,10411,1,2.0,3,3,3,2,1,0,11,9,1,1,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,2,1,1305217,2012
05/18/2012,away,10942,406,Mercer,9,True,7,18,-11,loss,7 - 18,780118,10411,1,1.0,4,3,3,1,0,0,7,6,0,0,0,0,0,0,0,2,0,0,0,36,1,1,0,0,0,5,0,1305217,2012
