date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/17/2013,away,11320,489,N.C. Central,9,True,4,11,-7,loss,4 - 11,658578,471,1,1.0,1,4,0,1,0,0,8,5,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,2,0,1300337,2013
02/23/2013,away,11320,521,Oklahoma St.,9,True,1,11,-10,loss,1 - 11,659289,471,1,3.0,5,3,2,0,0,0,14,12,0,0,1,0,0,1,0,0,0,1,0,41,5,2,0,1,0,1,0,1300337,2013
03/03/2013,home,11320,165,Coppin St.,9,True,13,2,11,win,13 - 2,661226,471,1,5.0,7,2,2,1,5,0,23,21,0,0,0,1,2,1,0,0,0,0,0,100,6,3,1,0,0,1,2,1300337,2013
03/10/2013,home,11320,1320,Presbyterian,9,True,2,3,-1,loss,2 - 3,663002,471,1,6.1,5,3,3,1,5,0,24,21,2,0,0,0,0,1,0,0,0,1,0,77,8,6,0,1,0,1,0,1300337,2013
03/16/2013,home,11320,617,Saint Peter's,9,True,3,5,-2,loss,3 - 5,664611,471,1,4.0,7,4,4,1,4,0,20,16,2,1,0,0,0,2,0,0,0,0,1,0,0,6,0,1,0,1,0,1300337,2013
03/20/2013,home,11320,639,Siena,9,True,8,11,-3,loss,8 - 11,665358,471,1,3.0,6,3,3,1,2,0,15,14,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,1300337,2013
03/30/2013,away,11320,400,Massachusetts,11,True,7,6,1,win,7 - 6,668420,471,1,1.2,2,3,3,2,2,0,9,6,0,0,0,0,0,0,0,0,0,1,0,43,1,2,0,0,0,2,0,1300337,2013
04/05/2013,home,11320,30024,Utah Valley,9,True,1,3,-2,loss,1 - 3,669517,471,1,1.0,1,1,1,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1300337,2013
04/06/2013,home,11320,30024,Utah Valley,9,True,9,7,2,win,9 - 7,670308,471,1,0.1,1,1,1,0,0,0,3,2,0,1,0,0,0,1,0,3,3,0,0,0,1,0,0,0,0,2,0,1300337,2013
04/14/2013,home,11320,477,New York Tech,9,True,10,4,6,win,10 - 4,672844,471,1,6.0,8,3,1,3,5,0,31,26,1,0,0,0,0,2,0,0,0,0,0,0,8,5,1,0,0,1,2,1300337,2013
04/21/2013,away,11320,502,Northern Colo.,9,True,5,15,-10,loss,5 - 15,674529,471,1,3.1,7,6,5,1,2,0,19,16,1,0,0,0,0,0,0,0,0,1,1,55,6,2,0,1,0,1,1,1300337,2013
04/30/2013,home,11320,748,Wagner,9,True,9,12,-3,loss,9 - 12,677093,471,1,2.0,3,5,5,1,1,0,12,8,0,0,0,0,0,2,0,0,0,0,1,44,4,1,0,1,0,4,1,1300337,2013
05/05/2013,home,11320,136,Chicago St.,9,True,4,2,2,win,4 - 2,678164,471,1,8.0,3,2,0,1,5,0,29,27,0,0,0,0,0,0,0,0,0,1,0,87,7,12,1,0,0,1,2,1300337,2013
05/11/2013,away,11320,494,North Dakota,9,True,4,6,-2,loss,4 - 6,679173,471,1,5.0,8,6,6,0,6,0,23,22,2,0,3,2,0,0,0,0,0,0,1,74,5,4,0,1,0,1,0,1300337,2013
05/18/2013,home,11320,287,Houston Baptist,9,True,1,15,-14,loss,1 - 15,679926,471,1,4.0,9,9,9,5,2,0,25,20,4,0,0,0,0,0,0,0,0,0,0,84,5,4,0,1,0,1,0,1300337,2013
