date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/26/2016,away,12360,523,Old Dominion,12,True,5,6,-1,loss,5 - 6,293541,381,0,1,5.0,0.0,2,1,0,4,3,0,20,16,0,0,0,0,0,0,0,0,0,0,0,89,4,6,0,0,0,1,1,1638396,2016
03/04/2016,away,12360,415,Miami (FL),9,True,0,10,-10,loss,0 - 10,295074,381,0,1,5.0,0.0,11,6,5,2,4,0,27,23,2,0,1,0,1,1,0,0,0,0,1,105,3,5,0,1,0,1,0,1638396,2016
03/11/2016,away,12360,231,FIU,9,True,0,6,-6,loss,0 - 6,296834,381,0,1,6.2,0.0,12,6,6,2,6,0,33,30,0,1,0,0,0,0,0,0,0,0,1,117,5,8,0,1,0,1,2,1638396,2016
03/18/2016,away,12360,635,Seton Hall,9,True,0,2,-2,loss,0 - 2,298697,381,0,1,8.0,1,8,2,2,3,4,0,32,27,1,1,0,0,1,1,0,0,0,1,0,101,9,7,0,1,0,1,1,1638396,2016
03/25/2016,away,12360,352,Lehigh,9,True,2,0,2,win,2 - 0,300647,381,0,1,8.0,0.0,4,0,0,0,9,0,29,28,2,0,0,0,0,1,0,0,0,0,0,0,11,4,1,0,0,1,6,1638396,2016
04/02/2016,home,12360,439,Monmouth,9,True,6,5,1,win,6 - 5,302726,381,0,1,5.2,0.0,11,5,4,3,5,0,30,26,1,1,0,0,0,0,0,0,0,1,0,115,5,5,0,0,0,1,1,1638396,2016
04/09/2016,home,12360,116,Canisius,9,True,2,4,-2,loss,2 - 4,304451,381,0,1,8.0,0.0,6,1,1,1,10,0,30,27,1,0,0,0,0,0,0,0,0,2,0,116,6,6,0,0,0,1,3,1638396,2016
04/12/2016,away,12360,725,Army West Point,9,True,3,2,1,win,3 - 2,305465,381,0,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,4,0,1638396,2016
04/16/2016,away,12360,386,Marist,9,True,7,13,-6,loss,7 - 13,306461,381,0,1,3.1,0.0,8,12,7,4,3,0,26,22,3,1,0,0,2,0,0,0,0,0,0,104,2,6,0,1,0,1,1,1638396,2016
04/23/2016,away,12360,562,Quinnipiac,9,True,3,5,-2,loss,3 - 5,308695,381,0,1,6.2,0.0,7,5,3,2,3,0,31,28,1,0,0,1,0,1,0,0,0,0,0,118,6,11,0,1,0,1,3,1638396,2016
04/29/2016,home,12360,220,Fairfield,14,True,2,1,1,win,2 - 1,310230,381,0,1,5.2,0.0,6,1,1,2,6,0,27,21,0,2,0,0,0,2,0,0,0,1,1,106,8,3,0,0,0,1,1,1638396,2016
05/07/2016,away,12360,482,Niagara,9,True,3,1,2,win,3 - 1,312049,381,0,1,9.0,1,5,1,0,0,9,0,32,31,0,0,0,0,0,0,0,0,0,1,0,0,12,5,1,0,0,1,3,1638396,2016
05/14/2016,away,12360,617,Saint Peter's,9,True,16,8,8,win,16 - 8,313235,381,0,1,6.0,0.0,7,3,2,4,6,0,28,24,1,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,1,2,1638396,2016
05/19/2016,home,12360,310,Iona,9,True,9,1,8,win,9 - 1,313629,381,0,1,6.0,0.0,4,1,1,4,6,0,25,21,0,0,0,0,0,0,0,0,0,0,0,105,6,5,1,0,0,1,3,1638396,2016
05/25/2016,away,12360,439,Monmouth,9,True,12,8,4,win,12 - 8,314254,381,0,1,6.0,0.0,9,6,5,0,5,0,29,26,2,1,0,0,0,2,0,0,0,1,0,112,9,4,1,0,0,1,0,1638396,2016
