date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/28/2021,home,15580,768,West Virginia,9,True,7,9,-2,loss,7 - 9,5085241,81,1,0.1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,5,0,0,19828140,2021
03/13/2021,away,15580,572,Rhode Island,9,True,0,7,-7,loss,0 - 7,5023673,81,1,1.0,0,1,0,0,2,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,31,1,1,0,0,0,5,1,0,19828140,2021
03/21/2021,away,15580,410,Merrimack,9,True,18,1,17,win,18 - 1,5032536,81,1,1.0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,5,0,0,19828140,2021
03/26/2021,away,15580,450,Mount St. Mary's,9,True,15,2,13,win,15 - 2,5037115,81,1,1.0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,3,0,0,19828140,2021
04/07/2021,away,15580,572,Rhode Island,9,True,10,7,3,win,10 - 7,5049440,81,1,1.0,0,1,0,0,0,0,0,5,5,1,0,0,0,1,0,0,0,0,0,0,15,1,2,0,0,0,4,0,0,19828140,2021
04/11/2021,home,15580,222,Fairleigh Dickinson,12,True,9,8,1,win,9 - 8,5053440,81,1,2.0,0,0,0,0,4,3,0,11,6,0,0,0,0,0,0,1,0,0,1,0,37,1,2,0,0,0,4,0,0,19828140,2021
04/24/2021,away,15580,127,Central Conn. St.,9,True,5,13,-8,loss,5 - 13,5066371,81,1,0.2,0,3,3,3,2,0,0,7,5,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,19828140,2021
04/27/2021,home,15580,725,Army West Point,9,True,16,8,8,win,16 - 8,5068288,81,1,1.0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,20,0,3,0,0,0,7,0,0,19828140,2021
05/16/2021,away,15580,748,Wagner,9,True,7,5,2,win,7 - 5,5079109,81,1,0.1,0,4,4,4,1,0,0,6,5,1,0,0,1,1,0,0,0,0,0,0,31,0,1,0,0,0,3,0,0,19828140,2021
05/27/2021,home,15580,361,LIU,9,True,17,13,4,win,17 - 13,5081929,81,1,0.0,0,2,3,0,1,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,19828140,2021
