App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,1.0,0.0,0,0,0,0,2,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,0,02/27/2022,home,15860,30190,Penn College,11,True,5,4,1,win,2169288,681,2352589,2022
1,0,2.0,0.0,1,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0,0,03/02/2022,home,15860,938,Alvernia,10,True,6,6,0,tie,2170025,681,2352589,2022
1,0,0.2,0.0,2,2,2,1,1,0,6,3,0,0,0,0,1,1,0,0,0,1,0,22,1,0,0,0,0,2,0,0,03/12/2022,neutral,15860,809,Worcester St.,9,True,6,3,3,win,2171990,681,2352589,2022
1,0,1.0,0.0,0,1,1,1,0,0,5,2,0,0,0,0,0,1,0,0,0,1,0,21,3,0,0,0,0,2,0,0,03/14/2022,neutral,15860,21852,Stevenson,9,True,12,9,3,win,2172606,681,2352589,2022
1,0,1.0,0.0,2,2,2,2,0,0,7,4,0,0,0,0,1,0,0,0,0,1,0,31,1,2,0,1,0,3,0,0,03/26/2022,away,15860,773,McDaniel,9,True,5,7,-2,loss,2175011,681,2352589,2022
1,0,0.1,0.0,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,03/29/2022,home,15860,303,Immaculata,9,True,11,18,-7,loss,2175746,681,2352589,2022
1,0,2.2,0.0,1,1,1,0,2,0,11,8,0,0,0,0,1,2,0,1,0,0,1,36,3,3,0,0,0,2,1,0,04/02/2022,away,15860,564,Ramapo,9,True,1,6,-5,loss,2176461,681,2352589,2022
1,0,0.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,04/05/2022,away,15860,966,Arcadia,9,True,6,8,-2,loss,2177219,681,2352589,2022
1,0,1.0,0.0,1,0,0,1,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,0,04/12/2022,away,15860,221,FDU-Florham,9,True,3,5,-2,loss,2178740,681,2352589,2022
1,0,1.0,0.0,2,2,0,1,0,0,7,5,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,04/16/2022,home,15860,787,Wm. Paterson,9,True,1,15,-14,loss,2185448,681,2352589,2022
1,0,3.2,0.0,5,1,1,1,4,0,17,15,0,1,2,0,0,0,0,2,2,0,1,67,5,2,0,0,0,3,0,0,04/22/2022,away,15860,712,TCNJ,9,True,9,11,-2,loss,2180642,681,2352589,2022
1,0,0.0,0.0,3,3,3,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,4,0,0,04/28/2022,away,15860,259,Rowan,9,True,6,10,-4,loss,2181869,681,2352589,2022
1,0,4.0,0.0,6,4,3,1,2,0,20,17,2,1,0,0,0,1,0,0,0,0,1,0,1,9,0,0,0,2,1,0,04/29/2022,home,15860,259,Rowan,9,True,7,16,-9,loss,2182057,681,2352589,2022
