App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,1.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,2,0,03/14/2015,neutral,12080,737,Vassar,9,True,18,4,14,win,409979,286,1558189,2015
0,1,3.2,4,2,1,3,2,0,18,14,1,0,0,3,0,0,0,0,0,1,0,0,3,5,0,0,0,1,0,03/17/2015,neutral,12080,264,Grinnell,9,True,6,4,2,win,410986,286,1558189,2015
0,1,5.1,5,2,2,2,3,0,22,17,1,0,0,1,0,1,0,0,0,2,0,0,7,4,0,0,0,1,1,03/24/2015,away,12080,30037,Trine,9,True,3,4,-1,loss,412798,286,1558189,2015
0,1,1.1,3,6,6,6,1,0,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,03/31/2015,away,12080,114,Calvin,9,True,2,12,-10,loss,414647,286,1558189,2015
0,1,1.1,3,4,4,3,1,0,9,6,0,0,0,1,0,0,0,0,0,0,0,43,2,0,0,1,0,1,0,04/04/2015,away,12080,4,Adrian,9,True,5,8,-3,loss,416241,286,1558189,2015
0,1,7.0,3,0,0,4,7,1,29,24,0,0,0,0,0,1,0,0,0,0,0,0,8,6,1,0,0,1,7,04/11/2015,home,12080,326,Kalamazoo,9,True,7,0,7,win,417703,286,1558189,2015
0,1,5.1,3,2,1,4,3,0,22,16,1,0,0,0,0,1,0,0,0,1,0,0,5,5,0,0,0,1,1,04/18/2015,home,12080,15,Albion,9,True,10,2,8,win,419944,286,1558189,2015
0,1,4.1,3,3,1,4,5,0,20,14,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,1,2,04/25/2015,away,12080,21,Alma,9,True,3,4,-1,loss,422163,286,1558189,2015
0,1,1.1,3,2,2,3,3,0,11,7,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,05/02/2015,away,12080,525,Olivet,9,True,5,3,2,win,423916,286,1558189,2015
0,0,0.2,0,2,2,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,3,0,05/07/2015,neutral,12080,114,Calvin,9,True,3,10,-7,loss,424605,286,1558189,2015
