date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/20/2022,away,15860,196,East Carolina,9,True,4,3,1,win,4 - 3,5211187,81,1,0,2.2,0.0,3,2,2,2,2,0,13,11,0,0,0,0,0,0,1,0,0,0,0,43,1,5,0,0,0,2,1,0,2465296,2022
02/26/2022,away,15860,173,Davidson,9,True,0,11,-11,loss,0 - 11,5281599,81,1,0,1.2,0.0,3,0,0,1,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,31,2,2,0,0,0,3,0,0,2465296,2022
03/04/2022,away,15860,523,Old Dominion,9,True,0,1,-1,loss,0 - 1,5222993,81,1,0,2.2,0.0,1,0,0,0,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,38,2,1,0,0,0,3,2,0,2465296,2022
03/26/2022,home,15860,361,LIU,9,True,4,6,-2,loss,4 - 6,5246475,81,1,0,1.1,0.0,3,1,1,2,2,0,9,7,0,1,0,0,1,0,1,0,0,0,0,33,0,2,0,0,0,3,0,0,2465296,2022
03/30/2022,away,15860,80,Brown,9,True,14,10,4,win,14 - 10,5250418,81,1,0,1.1,0.0,0,0,0,2,3,0,5,3,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,4,0,0,2465296,2022
04/09/2022,away,15860,222,Fairleigh Dickinson,9,True,4,6,-2,loss,4 - 6,5259099,81,1,1,3.0,0.0,3,3,2,1,6,0,13,12,0,0,0,0,0,0,0,0,0,0,0,50,0,3,0,0,0,1,1,0,2465296,2022
04/15/2022,home,15860,410,Merrimack,9,True,12,6,6,win,12 - 6,5265373,81,1,1,3.2,0.0,7,6,5,2,3,0,22,19,2,1,0,0,1,0,0,0,0,1,0,80,4,4,0,0,0,1,0,0,2465296,2022
04/23/2022,home,15860,590,Sacred Heart,9,True,13,5,8,win,13 - 5,5273839,81,1,1,5.0,0.0,5,3,3,2,5,0,22,20,1,0,0,0,1,0,0,0,0,0,0,77,7,3,1,0,0,1,0,0,2465296,2022
04/30/2022,away,15860,450,Mount St. Mary's,9,True,10,2,8,win,10 - 2,5279839,81,1,1,4.0,0.0,4,2,2,3,5,0,20,16,0,0,0,1,0,1,0,0,0,0,0,80,4,3,0,0,0,1,2,0,2465296,2022
05/08/2022,away,15860,361,LIU,9,True,4,8,-4,loss,4 - 8,5284979,81,1,1,2.1,0.0,4,6,4,3,1,0,15,11,2,0,0,0,0,1,0,0,0,0,0,65,2,4,0,1,0,1,0,0,2465296,2022
05/14/2022,home,15860,127,Central Conn. St.,9,True,8,0,8,win,8 - 0,5287619,81,1,1,6.0,0.0,4,0,0,5,3,0,25,20,0,0,0,0,0,0,0,0,0,0,0,93,7,6,1,0,0,1,2,0,2465296,2022
05/20/2022,home,15860,748,Wagner,9,True,7,9,-2,loss,7 - 9,5289143,81,1,1,3.0,0.0,1,1,1,3,2,0,14,9,0,0,0,0,1,1,1,0,0,1,0,47,3,4,0,1,0,1,1,0,2465296,2022
05/28/2022,home,15860,127,Central Conn. St.,9,True,10,8,2,win,10 - 8,5290534,81,1,1,1.1,0.0,2,2,2,4,0,0,10,5,0,0,0,0,1,0,0,0,0,1,0,37,2,2,0,0,0,1,0,0,2465296,2022
