App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,3.0,0.0,1,0,0,1,1,0,11,10,0,0,0,0,1,0,0,3,2,0,0,41,7,1,0,0,0,2,1,0,02/23/2024,away,16580,473,New Mexico,9,True,11,12,-1,loss,4526550,649,2823169,2024,1
1,0,1.0,0.0,0,1,1,2,1,0,5,2,0,0,0,0,0,1,0,1,0,0,0,20,0,1,0,0,0,2,0,1,03/02/2024,away,16580,660,SIUE,9,True,5,4,1,win,4543535,649,2823169,2024,1
1,0,1.1,0.0,2,1,1,1,1,0,7,6,0,0,0,0,1,0,0,3,1,0,0,22,1,2,0,1,0,5,1,0,03/03/2024,away,16580,660,SIUE,10,True,5,6,-1,loss,4528682,649,2823169,2024,1
1,0,0.2,0.0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,2,0,0,0,11,0,1,0,0,0,4,0,0,03/08/2024,away,16580,175,Dayton,9,True,8,5,3,win,4529290,649,2823169,2024,1
1,0,1.0,0.0,2,2,2,3,2,0,8,5,0,0,0,0,1,0,0,1,1,0,0,38,1,0,0,0,0,2,1,0,03/10/2024,away,16580,175,Dayton,9,True,6,16,-10,loss,4543350,649,2823169,2024,1
1,0,0.2,0.0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,6,0,0,03/13/2024,away,16580,327,Kansas St.,9,True,5,16,-11,loss,4530666,649,2823169,2024,1
1,0,0.2,0.0,0,0,0,2,2,0,4,2,0,0,0,0,0,0,0,2,1,0,0,19,0,0,0,0,0,2,1,0,03/23/2024,neutral,16580,620,St. Thomas (MN),9,True,5,11,-6,loss,4532558,649,2823169,2024,1
1,0,1.0,0.0,5,4,3,1,3,0,9,8,1,0,0,1,0,0,0,3,3,0,0,38,0,0,0,0,0,3,2,0,03/29/2024,neutral,16580,502,Northern Colo.,9,True,7,19,-12,loss,5256059,649,2823169,2024,1
1,0,1.0,0.0,0,1,0,1,3,0,6,4,0,0,0,0,1,1,0,0,0,0,0,27,0,0,0,0,0,2,1,0,04/12/2024,away,16580,464,Omaha,9,True,7,2,5,win,4536665,649,2823169,2024,1
1,0,0.2,0.0,4,6,6,2,1,0,8,6,1,0,0,0,2,0,0,1,0,0,0,32,0,1,0,1,0,4,1,0,04/13/2024,away,16580,464,Omaha,9,True,15,21,-6,loss,4536948,649,2823169,2024,1
1,0,4.1,0.0,3,2,1,2,4,0,19,16,0,0,0,0,0,0,0,0,0,1,0,78,8,0,0,0,0,2,1,0,04/21/2024,home,16580,620,St. Thomas (MN),9,True,4,3,1,win,4538918,649,2823169,2024,1
1,0,2.0,0.0,2,2,2,3,2,0,10,6,0,0,0,0,1,0,0,3,3,1,0,43,3,0,0,0,0,2,0,0,04/27/2024,home,16580,527,Oral Roberts,9,True,5,13,-8,loss,4539912,649,2823169,2024,1
