App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,1,4.1,0.0,9,9,4,5,1,0,28,20,2,0,0,2,0,2,0,0,0,1,0,0,4,5,0,1,0,1,0,03/20/2017,neutral,12560,322,Johns Hopkins,9,True,3,13,-10,loss,212907,151,1896131,2017
0,0,2.2,0.0,3,0,0,2,4,0,14,10,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,1,03/24/2017,neutral,12560,548,Plymouth St.,9,True,3,4,-1,loss,213737,151,1896131,2017
0,0,0.2,0.0,2,2,2,2,1,0,7,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,04/02/2017,away,12560,50,Bates,9,True,4,9,-5,loss,216341,151,1896131,2017
0,1,5.0,0.0,2,0,0,2,3,0,18,15,0,0,0,0,0,0,0,0,0,1,0,0,5,5,0,0,0,1,2,04/05/2017,home,12560,605,St. Joseph's (ME),9,True,3,5,-2,loss,216827,151,1896131,2017
0,1,9.0,1,5,0,0,2,5,1,32,30,1,0,0,0,0,0,0,0,0,0,0,0,12,7,1,0,0,1,1,04/10/2017,home,12560,379,Me.-Farmington,9,True,7,0,7,win,218536,151,1896131,2017
0,1,4.1,0.0,11,4,4,2,5,0,25,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,4,04/15/2017,home,12560,717,Tufts,9,True,3,12,-9,loss,220338,151,1896131,2017
0,1,3.0,0.0,1,0,0,1,3,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,04/20/2017,home,12560,2758,Thomas (ME),9,True,5,0,5,win,221128,151,1896131,2017
0,1,6.2,1,4,1,1,2,2,0,25,22,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,1,0,1,0,04/23/2017,away,12560,789,Williams,9,True,0,1,-1,loss,222461,151,1896131,2017
0,1,5.2,0.0,5,2,2,4,8,0,25,20,0,0,1,0,0,1,0,0,0,0,0,0,5,2,1,0,0,1,4,04/29/2017,home,12560,69,Bowdoin,9,True,10,4,6,win,223782,151,1896131,2017
0,0,1.0,0.0,1,0,0,1,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,3,1,05/03/2017,away,12560,380,Maine,9,True,2,10,-8,loss,224555,151,1896131,2017
0,1,7.1,0.0,7,6,3,0,4,0,32,30,2,1,0,0,1,1,0,0,0,1,0,0,13,6,0,0,0,1,0,05/06/2017,home,12560,24,Amherst,9,True,4,8,-4,loss,225203,151,1896131,2017
