App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,1,8.0,7,3,3,2,2,0,32,25,2,0,0,0,0,2,0,0,0,3,0,0,15,4,1,0,0,1,0,03/09/2015,neutral,12080,601,St. John Fisher,9,True,6,3,3,win,408827,278,1425236,2015
0,1,5.2,6,5,5,2,4,0,28,22,3,0,0,0,0,4,0,0,0,0,0,0,7,5,0,1,0,1,0,03/15/2015,neutral,12080,322,Johns Hopkins,9,True,5,11,-6,loss,410553,278,1425236,2015
0,1,5.0,7,4,3,2,7,0,23,20,3,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,1,2,03/25/2015,home,12080,4,Adrian,9,True,6,5,1,win,413075,278,1425236,2015
0,1,1.2,5,6,6,4,0,0,14,10,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,03/31/2015,home,12080,30037,Trine,9,True,10,8,2,win,414755,278,1425236,2015
0,0,1.2,0,0,0,1,4,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,04/06/2015,away,12080,452,Mount Union,9,True,7,15,-8,loss,416456,278,1425236,2015
0,1,3.1,6,6,5,3,2,0,19,16,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,1,0,1,2,04/10/2015,home,12080,117,Capital,9,True,12,17,-5,loss,417141,278,1425236,2015
0,0,1.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,04/11/2015,away,12080,385,Marietta,9,True,7,13,-6,loss,417697,278,1425236,2015
0,0,3.0,1,0,0,2,2,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,1,04/14/2015,away,12080,320,John Carroll,9,True,17,2,15,win,418780,278,1425236,2015
0,0,1.1,1,0,0,1,0,0,6,4,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,5,0,04/16/2015,home,12080,122,CWRU,9,True,6,14,-8,loss,419130,278,1425236,2015
0,0,0.1,0,0,0,2,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,04/18/2015,home,12080,1461,Wilmington (OH),9,True,5,3,2,win,420265,278,1425236,2015
0,0,1.0,1,2,2,3,1,0,8,4,0,0,0,1,0,1,0,0,0,0,0,35,0,2,0,0,0,4,0,04/22/2015,away,12080,807,Wooster,9,True,8,16,-8,loss,421037,278,1425236,2015
0,0,2.0,2,2,2,2,2,0,11,8,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,1,04/26/2015,away,12080,531,Otterbein,10,True,18,3,15,win,422664,278,1425236,2015
0,0,2.0,2,3,2,2,4,0,11,9,2,0,0,1,0,0,0,0,0,0,0,49,1,1,0,0,0,4,2,04/30/2015,home,12080,1163,La Roche,9,True,12,9,3,win,423251,278,1425236,2015
0,0,2.0,6,5,5,2,2,0,13,11,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,05/09/2015,home,12080,385,Marietta,9,True,11,18,-7,loss,425007,278,1425236,2015
0,1,3.0,1,2,2,6,3,0,15,8,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,1,1,05/16/2015,neutral,12080,1163,La Roche,9,True,5,6,-1,loss,425905,278,1425236,2015
