date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/17/2019,home,14781,482,Niagara,9,True,6,0,6,win,6 - 0,4707419,488,1,6.0,0,3,0,0,0,4,0,20,20,0,0,0,0,0,0,0,0,0,0,0,70,8,5,1,0,0,1,2,1873482,2019
02/24/2019,home,14781,505,Northern Ky.,9,True,4,3,1,win,4 - 3,4715504,488,1,7.0,0,7,3,3,0,3,0,29,26,3,1,0,0,0,2,0,0,0,1,0,0,11,6,1,0,0,1,0,1873482,2019
03/03/2019,away,14781,1014,Col. of Charleston,9,True,2,0,2,win,2 - 0,4721779,488,1,9.0,1,7,0,0,0,2,1,33,33,2,0,0,0,0,0,0,0,0,0,0,94,12,12,1,0,0,1,1,1873482,2019
03/10/2019,away,14781,489,N.C. Central,9,True,3,4,-1,loss,3 - 4,4729734,488,1,6.0,0,6,0,0,2,3,0,26,23,2,0,0,0,1,1,0,0,0,0,0,104,8,6,0,0,0,1,3,1873482,2019
03/17/2019,home,14781,386,Marist,9,True,1,7,-6,loss,1 - 7,4745786,488,1,7.0,0,9,5,5,1,3,0,31,29,3,0,0,1,0,0,0,0,0,1,0,103,8,10,0,1,0,1,0,1873482,2019
03/26/2019,away,14781,648,South Carolina,9,True,2,0,2,win,2 - 0,4749438,488,1,5.0,0,3,0,0,2,5,0,20,18,2,0,0,0,0,0,0,0,0,0,0,65,6,4,1,0,0,1,0,1873482,2019
03/31/2019,home,14781,632,Savannah St.,9,True,4,10,-6,loss,4 - 10,4754524,488,1,4.0,0,4,4,2,1,4,0,19,18,2,0,0,1,0,0,0,0,0,0,0,63,5,3,0,1,0,1,1,1873482,2019
04/03/2019,away,14781,10411,USC Upstate,10,True,3,4,-1,loss,3 - 4,4758058,488,1,0.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,6,0,1873482,2019
04/07/2019,away,14781,228,Florida A&M,9,True,0,9,-9,loss,0 - 9,4762433,488,1,3.2,0,9,7,5,0,4,0,22,22,1,1,0,1,0,0,0,0,0,0,0,0,4,3,0,1,0,1,2,1873482,2019
04/14/2019,home,14781,489,N.C. Central,9,True,4,6,-2,loss,4 - 6,4770225,488,1,5.0,0,6,6,2,0,2,0,24,23,3,0,0,0,1,0,0,0,0,1,0,77,7,6,0,1,0,1,0,1873482,2019
04/20/2019,away,14781,355,Liberty,9,True,8,2,6,win,8 - 2,4776561,488,1,4.2,0,7,2,2,3,1,0,24,20,1,0,0,1,1,0,0,0,0,0,1,106,4,9,0,0,0,1,0,1873482,2019
04/28/2019,home,14781,61,Bethune-Cookman,9,True,7,4,3,win,7 - 4,4783439,488,1,6.0,0,8,3,3,2,3,0,27,24,0,0,0,0,0,0,0,0,0,1,0,92,8,6,0,0,0,1,2,1873482,2019
05/05/2019,away,14781,632,Savannah St.,9,True,8,3,5,win,8 - 3,4789601,488,1,5.0,0,9,3,3,0,3,0,22,20,1,0,0,0,0,0,0,0,0,2,0,0,6,4,0,0,0,1,0,1873482,2019
05/10/2019,home,14781,228,Florida A&M,9,True,9,2,7,win,9 - 2,4790355,488,1,5.2,0,6,2,1,2,4,0,27,25,2,0,0,0,0,0,0,0,0,0,0,88,5,8,0,0,0,1,1,1873482,2019
05/17/2019,home,14781,485,Norfolk St.,9,True,2,4,-2,loss,2 - 4,4791964,488,1,6.1,0,8,4,3,0,5,0,26,26,1,0,0,1,0,0,0,0,0,0,0,94,12,1,0,1,0,1,1,1873482,2019
