date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
03/17/2021,away,15580,67,Boston College,9,True,12,18,-6,loss,12 - 18,5028610,285,1,0,0.2,0.0,1,1,1,1,1,0,4,3,0,1,0,0,0,0,0,2,2,0,0,17,1,0,0,0,0,5,1,0,2505520,2021
03/21/2021,away,15580,342,Lafayette,9,True,9,11,-2,loss,9 - 11,5042191,285,1,0,2.1,0.0,1,1,0,5,3,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,1,0,2505520,2021
03/27/2021,away,15580,725,Army West Point,9,True,3,7,-4,loss,3 - 7,5046966,285,1,0,2.1,0.0,1,0,0,1,1,0,8,7,0,0,0,0,1,0,0,1,0,0,0,29,3,2,0,0,0,2,0,1,2505520,2021
03/31/2021,away,15580,400,Massachusetts,9,True,7,6,1,win,7 - 6,5042861,285,1,0,3.0,0.0,2,2,2,2,6,0,13,11,0,0,0,1,0,0,0,0,0,0,0,59,3,0,1,0,0,5,3,0,2505520,2021
04/04/2021,home,15580,83,Bucknell,9,True,2,1,1,win,2 - 1,5047218,285,1,0,0.1,0.0,2,1,1,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2505520,2021
04/07/2021,home,15580,410,Merrimack,9,True,11,12,-1,loss,11 - 12,5049739,285,1,0,2.0,0.0,3,4,0,0,4,0,11,10,1,0,0,0,0,1,0,0,0,0,0,49,0,2,0,1,0,5,1,0,2505520,2021
04/18/2021,away,15580,342,Lafayette,10,True,5,4,1,win,5 - 4,5062011,285,1,0,5.0,0.0,3,0,0,0,11,0,19,19,0,0,0,0,1,0,0,2,0,0,0,0,2,2,1,0,0,3,5,0,2505520,2021
04/24/2021,away,15580,726,Navy,9,True,13,14,-1,loss,13 - 14,5064737,285,1,0,1.0,0.0,2,3,3,2,1,0,8,5,0,0,0,0,0,1,0,1,1,0,0,35,1,1,0,0,0,3,1,0,2505520,2021
04/27/2021,away,15580,67,Boston College,9,True,2,13,-11,loss,2 - 13,5068395,285,1,0,2.0,0.0,0,0,0,2,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,35,2,2,0,0,0,5,0,0,2505520,2021
05/01/2021,home,15580,725,Army West Point,10,True,4,3,1,win,4 - 3,5070735,285,1,0,4.0,0.0,2,0,0,1,2,0,15,13,1,0,0,0,0,0,0,0,0,1,0,55,7,3,1,0,0,3,1,0,2505520,2021
05/05/2021,away,15580,410,Merrimack,9,True,5,7,-2,loss,5 - 7,5073838,285,1,1,0.2,0.0,0,3,3,5,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,31,0,2,0,1,0,1,0,0,2505520,2021
05/09/2021,home,15580,352,Lehigh,9,True,9,7,2,win,9 - 7,5076537,285,1,0,2.1,0.0,4,1,1,0,1,0,9,9,0,0,0,1,0,0,0,2,0,0,0,38,1,3,1,0,0,3,0,0,2505520,2021
