App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,1.0,0.0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,15,1,2,0,0,0,2,0,0,02/18/2024,home,16580,660,SIUE,9,True,11,0,11,win,4526039,716,2949164,2024,1
1,0,1.0,0.0,1,1,1,1,2,0,5,3,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,0,4,0,0,02/28/2024,home,16580,331,Kent St.,9,True,12,11,1,win,4527643,716,2949164,2024,1
1,0,1.1,0.0,1,0,0,0,1,0,6,6,0,0,0,0,0,0,0,2,0,0,0,31,1,2,0,0,0,5,0,0,03/10/2024,away,16580,306,Indiana,9,True,7,10,-3,loss,4492108,716,2949164,2024,1
1,0,1.0,0.0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,4,0,0,03/23/2024,home,16580,646,South Alabama,9,True,8,10,-2,loss,4532537,716,2949164,2024,1
