date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/19/2022,home,15860,77,BYU,9,True,2,3,-1,loss,2 - 3,5210875,388,1,5.0,0,1,0,0,1,4,0,16,15,0,0,0,0,0,0,0,0,0,0,0,67,5,5,0,0,0,2,1,0,25052420,2022
02/26/2022,home,15860,500,Northeastern,10,True,3,2,1,win,3 - 2,5230357,388,1,5.0,0,3,1,1,0,3,0,18,18,2,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,2,0,0,25052420,2022
03/05/2022,home,15860,514,Oakland,9,True,13,10,3,win,13 - 10,5228231,388,1,3.0,0,6,4,4,4,3,0,19,15,0,0,0,2,1,0,0,0,0,0,0,0,2,3,0,0,0,2,2,0,25052420,2022
03/19/2022,away,15860,231,FIU,9,True,3,11,-8,loss,3 - 11,5240225,388,1,1.2,0,4,8,8,5,1,0,13,8,0,0,0,1,0,0,0,0,0,0,0,57,0,3,0,1,0,1,1,0,25052420,2022
03/26/2022,home,15860,574,Rice,9,True,5,6,-1,loss,5 - 6,5247658,388,1,4.0,0,3,4,4,6,6,0,21,13,2,0,0,0,2,1,0,0,0,1,0,97,3,2,0,0,0,1,0,0,25052420,2022
04/02/2022,away,15860,9,UAB,9,True,2,3,-1,loss,2 - 3,5253299,388,1,5.0,0,7,2,2,2,3,0,24,20,0,0,0,0,0,1,0,0,0,0,1,88,6,5,0,0,0,1,1,0,25052420,2022
04/10/2022,home,15860,419,Middle Tenn.,9,True,1,3,-2,loss,1 - 3,5261437,388,1,6.0,0,3,2,2,0,9,0,24,20,1,0,0,0,0,4,0,0,0,0,0,92,5,4,0,1,0,1,1,0,25052420,2022
04/16/2022,home,15860,366,Louisiana Tech,9,True,4,7,-3,loss,4 - 7,5266643,388,1,6.1,0,3,3,3,2,9,0,25,22,2,0,0,1,0,1,0,0,0,0,0,94,6,4,0,0,0,1,2,0,25052420,2022
04/23/2022,away,15860,772,Western Ky.,9,True,8,1,7,win,8 - 1,5272959,388,1,6.0,0,1,0,0,3,8,0,22,18,0,0,0,0,0,1,0,0,0,0,0,84,2,7,1,0,0,1,4,0,25052420,2022
04/30/2022,home,15860,458,Charlotte,9,True,4,25,-21,loss,4 - 25,5280623,388,1,1.2,0,3,5,5,5,1,0,13,8,0,0,0,1,0,0,0,0,0,0,0,62,3,1,0,1,0,1,1,0,25052420,2022
05/07/2022,away,15860,706,UTSA,9,True,9,6,3,win,9 - 6,5284634,388,1,6.0,0,6,4,4,3,5,0,27,24,2,0,0,1,0,0,0,0,0,0,0,102,10,3,1,0,0,1,1,0,25052420,2022
05/14/2022,away,15860,523,Old Dominion,12,True,7,8,-1,loss,7 - 8,5287894,388,1,5.2,0,7,5,1,2,4,0,27,23,2,0,0,0,0,1,0,0,0,1,0,109,3,8,0,0,0,1,0,0,25052420,2022
05/20/2022,home,15860,229,Fla. Atlantic,9,True,12,14,-2,loss,12 - 14,5289088,388,1,4.0,0,10,8,7,1,5,0,23,22,0,0,0,3,0,0,0,0,0,0,0,95,6,1,0,0,0,1,1,0,25052420,2022
