App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,1.1,0.0,5,6,3,2,1,0,12,10,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,03/19/2019,neutral,14781,530,Oswego St.,9,True,1,15,-14,loss,1669145,775,2155747,2019
1,0,1.0,0.0,3,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,2,0,04/01/2019,home,14781,532,Elms,9,True,16,1,15,win,1655487,775,2155747,2019
1,0,1.0,0.0,2,1,1,1,3,0,6,5,1,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,8,2,04/03/2019,away,14781,330,Keene St.,9,True,32,11,21,win,1657390,775,2155747,2019
