date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/16/2019,home,14781,367,Louisville,9,True,2,12,-10,loss,2 - 12,4707356,164,1,2.2,0,3,2,2,1,3,0,13,11,1,0,0,0,1,1,0,0,0,0,0,48,2,3,0,0,0,2,1,1974527,2019
02/23/2019,away,14781,1014,Col. of Charleston,9,True,2,7,-5,loss,2 - 7,4713313,164,1,0.1,0,0,3,3,3,1,0,4,1,0,0,1,0,2,0,0,0,0,0,0,20,0,0,0,0,0,2,0,1974527,2019
03/02/2019,home,14781,306,Indiana,9,True,6,9,-3,loss,6 - 9,4721098,164,1,1.2,0,4,2,2,0,3,0,8,8,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,4,2,1974527,2019
03/10/2019,away,14781,670,Texas St.,9,True,3,5,-2,loss,3 - 5,4729563,164,1,1.0,0,0,0,0,0,1,0,4,3,0,0,0,0,1,1,0,2,1,0,0,15,1,1,0,0,0,6,0,1974527,2019
03/26/2019,home,14781,272,Hartford,9,True,12,4,8,win,12 - 4,4749104,164,1,2.0,0,1,1,1,0,3,0,8,7,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,2,2,1974527,2019
04/02/2019,home,14781,220,Fairfield,9,True,3,10,-7,loss,3 - 10,4756502,164,1,0.1,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,4,0,1974527,2019
04/16/2019,away,14781,400,Massachusetts,9,True,10,7,3,win,10 - 7,4772040,164,1,2.0,0,2,1,1,0,3,0,8,8,1,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,4,2,1974527,2019
04/26/2019,away,14781,624,Sam Houston,9,True,5,8,-3,loss,5 - 8,4780959,164,1,0.2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,5,1,1,0,0,0,5,0,1974527,2019
04/30/2019,home,14781,127,Central Conn. St.,9,True,9,1,8,win,9 - 1,4784685,164,1,3.0,0,1,0,0,0,5,0,11,10,1,0,0,0,0,1,0,0,0,0,0,46,4,0,1,0,0,2,2,1974527,2019
05/04/2019,home,14781,782,Wichita St.,9,True,5,12,-7,loss,5 - 12,4787689,164,1,3.0,0,1,0,0,0,3,0,10,10,1,0,0,0,1,0,0,0,0,0,0,41,2,4,0,0,0,3,0,1974527,2019
05/11/2019,home,14781,651,South Fla.,9,True,2,3,-1,loss,2 - 3,4790469,164,1,0.1,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,2,0,0,0,11,0,0,0,0,0,2,0,1974527,2019
05/11/2019,home,14781,651,South Fla.,9,True,1,3,-2,loss,1 - 3,4790696,164,1,0.2,0,4,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,26,1,1,0,1,0,4,0,1974527,2019
05/17/2019,away,14781,718,Tulane,9,True,10,6,4,win,10 - 6,4792253,164,1,0.2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,4,0,1974527,2019
