date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/26/2022,away,15860,37,Auburn,9,True,3,4,-1,loss,3 - 4,5217483,813,1,5.0,0,3,3,3,1,3,0,23,17,0,0,0,1,1,5,0,0,0,0,0,82,6,5,0,0,0,1,2,0,2319284,2022
03/05/2022,away,15860,756,Washington,10,True,8,7,1,win,8 - 7,5232979,813,1,5.1,0,8,6,5,3,7,0,29,25,1,0,0,3,0,1,1,0,0,0,0,0,3,6,0,0,0,1,4,0,2319284,2022
03/11/2022,away,15860,236,Fordham,9,True,11,2,9,win,11 - 2,5231450,813,1,6.0,0,1,1,0,4,9,0,24,17,0,0,0,0,0,3,0,0,0,0,0,103,6,1,1,0,0,1,5,1,2319284,2022
03/19/2022,away,15860,30135,California Baptist,9,True,12,10,2,win,12 - 10,5240306,813,1,6.0,0,6,5,5,3,4,0,27,24,2,0,0,1,0,0,0,0,0,0,0,99,8,6,1,0,0,1,3,0,2319284,2022
03/26/2022,away,15860,554,Princeton,9,True,3,2,1,win,3 - 2,5246208,813,1,6.0,0,4,1,1,4,10,0,27,22,1,0,0,1,0,1,0,0,0,0,0,0,6,2,1,0,0,1,3,0,2319284,2022
04/02/2022,away,15860,167,Cornell,9,True,1,2,-1,loss,1 - 2,5252298,813,1,7.0,0,3,1,1,2,7,0,28,23,0,0,0,0,2,3,0,0,0,0,0,107,6,7,0,0,0,1,5,0,2319284,2022
04/09/2022,home,15860,172,Dartmouth,9,True,4,14,-10,loss,4 - 14,5259135,813,1,6.0,0,10,10,10,5,9,0,35,28,2,1,0,2,1,2,1,0,0,0,0,0,4,5,0,1,0,1,4,0,2319284,2022
04/16/2022,home,15860,80,Brown,10,True,3,2,1,win,3 - 2,5267251,813,1,7.1,0,4,2,2,2,11,0,29,25,0,0,0,2,0,2,0,0,0,0,0,0,8,3,0,0,0,1,3,0,2319284,2022
04/23/2022,away,15860,158,Columbia,9,True,4,5,-1,loss,4 - 5,5271837,813,1,6.1,0,8,4,4,2,5,0,28,25,0,0,0,0,0,1,0,0,0,0,0,96,6,6,0,0,0,1,2,0,2319284,2022
04/29/2022,home,15860,540,Penn,9,True,4,27,-23,loss,4 - 27,5278770,813,1,4.0,0,8,10,10,3,5,0,25,20,3,0,0,2,0,2,0,0,0,0,0,0,6,1,0,1,0,1,2,0,2319284,2022
05/14/2022,home,15860,275,Harvard,9,True,1,0,1,win,1 - 0,5287689,813,1,6.0,0,3,0,0,2,10,0,26,19,0,0,0,0,1,4,0,0,0,1,0,0,4,3,1,0,0,1,3,0,2319284,2022
