App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,5.2,0.0,2,1,0,1,3,0,21,19,1,0,0,0,0,0,0,2,0,1,0,68,6,8,0,1,0,2,1,02/19/2016,home,12360,262,Grand Valley St.,11,True,3,4,-1,loss,292563,661,1650398,2016
0,0,2.2,0.0,3,3,1,1,2,0,14,11,1,0,0,0,0,1,0,2,0,1,0,55,5,1,0,0,0,2,1,02/26/2016,home,12360,499,Truman St.,11,True,14,13,1,win,293650,661,1650398,2016
0,1,9.0,1,13,4,1,0,4,0,41,39,0,0,0,0,0,1,0,0,0,1,0,128,10,11,1,0,0,1,1,03/05/2016,home,12360,30002,Trevecca Nazarene,9,True,9,4,5,win,295330,661,1650398,2016
0,1,7.0,0.0,7,2,2,1,2,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,7,9,1,0,0,1,1,03/11/2016,away,12360,1057,Drury,9,True,9,3,6,win,297137,661,1650398,2016
0,0,2.0,0.0,3,3,2,2,1,0,12,8,0,0,0,0,1,0,0,0,0,0,1,49,1,3,0,1,0,2,1,03/19/2016,home,12360,561,Quincy,9,True,4,7,-3,loss,299434,661,1650398,2016
0,0,1.2,0.0,1,2,2,4,1,0,10,5,0,0,0,0,2,1,1,1,0,0,0,37,2,1,0,0,0,2,0,03/26/2016,home,12360,52,Bellarmine,9,True,3,6,-3,loss,301293,661,1650398,2016
0,0,3.0,0.0,5,4,4,1,3,0,15,14,1,0,0,0,0,0,1,1,0,0,0,55,5,1,0,0,0,2,0,04/02/2016,home,12360,30050,Ill. Springfield,9,True,8,9,-1,loss,302812,661,1650398,2016
0,1,6.0,0.0,7,6,4,2,5,0,30,26,1,0,0,0,0,2,0,0,0,0,0,0,5,7,0,1,0,1,3,04/05/2016,away,12360,436,Mo.-St. Louis,9,True,1,8,-7,loss,303668,661,1650398,2016
0,0,0.0,0.0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,2,0,04/10/2016,away,12360,799,Wis.-Parkside,9,True,10,8,2,win,305181,661,1650398,2016
0,0,0.1,0.0,1,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0,3,0,04/16/2016,away,12360,30138,McKendree,9,True,8,9,-1,loss,306814,661,1650398,2016
0,1,5.0,0.0,4,0,0,1,4,0,21,19,1,0,0,0,0,1,0,0,0,0,0,70,5,5,1,0,0,1,0,04/19/2016,home,12360,1278,Oakland City,9,True,13,2,11,win,307724,661,1650398,2016
0,0,1.0,0.0,0,1,0,1,1,0,3,2,0,0,0,0,0,0,0,3,1,0,0,14,1,0,0,1,0,3,1,04/24/2016,home,12360,354,Lewis,9,True,8,9,-1,loss,309337,661,1650398,2016
0,0,0.0,0.0,1,1,1,1,0,0,2,1,0,0,0,0,1,0,0,2,2,0,0,8,0,0,0,0,0,3,0,05/01/2016,home,12360,604,St. Joseph's (IN),9,True,5,3,2,win,311079,661,1650398,2016
0,0,2.2,0.0,2,3,3,1,4,0,11,10,0,0,0,1,0,0,0,1,1,0,0,36,2,2,0,0,0,2,2,05/07/2016,neutral,12360,309,UIndy,9,True,2,12,-10,loss,312208,661,1650398,2016
0,0,3.2,0.0,5,3,3,3,5,0,21,16,1,0,0,0,1,2,0,2,1,0,0,78,5,1,0,0,0,2,1,05/12/2016,neutral,12360,30120,William Jewell,9,True,4,12,-8,loss,312842,661,1650398,2016
0,0,5.0,0.0,6,3,3,3,3,0,23,20,1,0,0,1,1,0,0,1,0,0,0,73,8,3,1,0,0,2,1,05/21/2016,neutral,12360,35,Ashland,9,True,13,8,5,win,314096,661,1650398,2016
0,0,1.0,0.0,0,0,0,2,1,0,6,3,0,0,0,0,0,0,1,0,0,1,0,24,2,0,0,0,0,2,1,06/01/2016,neutral,12360,1167,Lander,9,True,2,4,-2,loss,314531,661,1650398,2016
