App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,1,5.2,1,3,3,2,6,0,21,19,0,0,1,0,0,0,0,0,0,0,0,0,6,5,0,0,0,1,1,02/07/2015,neutral,12080,8530,McMurry,9,True,5,4,1,win,404562,139,1656485,2015
0,0,1.0,1,3,0,2,1,0,7,5,0,0,0,1,0,0,0,0,0,0,0,39,0,2,0,0,0,2,0,02/11/2015,home,12080,203,East. Mennonite,9,True,4,3,1,win,404700,139,1656485,2015
0,1,1.0,1,2,2,4,1,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,03/04/2015,away,12080,491,N.C. Wesleyan,9,True,5,2,3,win,407508,139,1656485,2015
0,1,3.2,5,1,1,4,5,0,21,14,0,0,0,1,0,2,0,0,0,1,0,0,5,0,0,1,0,1,2,03/08/2015,neutral,12080,394,Marymount (VA),9,True,0,3,-3,loss,408641,139,1656485,2015
0,1,5.0,3,2,2,5,4,0,21,16,1,0,0,0,0,0,0,0,0,0,0,94,5,4,1,0,0,1,2,03/16/2015,home,12080,679,Stevens,9,True,4,2,2,win,410621,139,1656485,2015
0,1,4.0,3,0,0,4,5,0,18,14,0,0,0,1,0,0,0,0,0,0,0,83,2,4,0,0,0,1,2,03/21/2015,home,12080,30081,Penn St. Harrisburg,9,True,18,4,14,win,412005,139,1656485,2015
0,1,6.0,9,6,6,3,3,0,29,25,2,0,0,2,0,1,0,0,0,0,0,0,10,3,0,1,0,1,1,03/31/2015,away,12080,390,Mary Washington,9,True,4,8,-4,loss,414500,139,1656485,2015
0,1,5.0,3,1,1,4,1,0,24,17,0,1,0,0,0,2,0,0,0,1,0,0,9,5,1,0,0,1,1,04/04/2015,away,12080,611,St. Mary's (MD),9,True,13,6,7,win,416214,139,1656485,2015
0,1,7.2,6,2,2,2,5,0,31,24,0,0,0,0,0,3,0,0,0,2,0,100,7,8,1,0,0,1,1,04/11/2015,home,12080,815,York (PA),9,True,8,3,5,win,417528,139,1656485,2015
0,1,8.0,5,4,4,7,10,0,33,25,0,0,0,1,0,1,0,0,0,0,0,0,4,6,1,0,0,1,6,04/16/2015,neutral,12080,763,Wesley,9,True,18,5,13,win,419220,139,1656485,2015
