date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/24/2013,home,11320,285,Holy Cross,9,True,13,12,1,win,13 - 12,659846,690,1,1,6.0,6,6,4,3,6,0,30,25,1,1,0,0,0,1,0,0,0,1,0,0,7,4,0,0,0,1,1,1203258,2013
03/02/2013,away,11320,523,Old Dominion,9,True,4,12,-8,loss,4 - 12,660511,690,1,1,3.2,8,6,6,1,2,0,20,18,2,0,1,0,0,1,0,0,0,0,0,0,5,3,0,1,0,1,1,1203258,2013
03/13/2013,home,11320,342,Lafayette,9,True,10,3,7,win,10 - 3,663421,690,1,1,6.0,7,2,2,1,4,0,27,25,1,0,0,0,0,1,0,0,0,0,0,91,5,8,1,0,0,1,1,1203258,2013
03/20/2013,away,11320,352,Lehigh,9,True,11,8,3,win,11 - 8,665410,690,1,1,4.1,6,4,2,3,5,0,24,21,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,2,1203258,2013
03/24/2013,home,11320,606,Saint Joseph's,9,True,11,1,10,win,11 - 1,666583,690,1,0,1.0,0,0,0,1,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,1203258,2013
03/27/2013,home,11320,352,Lehigh,9,True,9,3,6,win,9 - 3,667137,690,1,0,1.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,1,1203258,2013
03/30/2013,away,11320,249,George Washington,9,True,0,1,-1,loss,0 - 1,668526,690,1,0,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,0,2,1,1203258,2013
04/02/2013,away,11320,180,Delaware,9,True,3,5,-2,loss,3 - 5,668916,690,1,1,5.0,5,2,1,1,4,0,19,17,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,1,2,1203258,2013
04/07/2013,home,11320,340,La Salle,9,True,7,12,-5,loss,7 - 12,670442,690,1,0,1.0,2,3,2,2,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,4,1,1203258,2013
04/14/2013,away,11320,740,VCU,9,True,4,3,1,win,4 - 3,672501,690,1,0,2.1,3,1,1,1,0,0,11,9,0,0,0,0,0,0,0,2,0,1,0,30,5,2,0,0,0,2,0,1203258,2013
04/21/2013,away,11320,572,Rhode Island,9,True,2,6,-4,loss,2 - 6,674569,690,1,0,2.0,5,4,4,0,2,0,11,11,1,0,0,0,0,0,0,0,0,0,0,32,2,2,0,1,0,2,1,1203258,2013
04/24/2013,home,11320,248,George Mason,9,True,5,9,-4,loss,5 - 9,675243,690,1,0,5.0,5,4,1,1,4,0,22,20,1,0,0,1,0,0,0,0,0,0,1,77,7,4,0,0,0,2,2,1203258,2013
04/30/2013,away,11320,739,Villanova,9,True,7,6,1,win,7 - 6,677084,690,1,1,5.1,4,4,4,1,5,0,21,19,1,0,0,0,0,1,0,0,0,0,0,74,4,6,0,0,0,1,2,1203258,2013
05/05/2013,away,11320,575,Richmond,10,True,3,4,-1,loss,3 - 4,678246,690,1,0,4.0,3,0,0,2,2,0,18,15,0,0,0,1,0,1,0,2,0,0,0,0,5,5,0,0,0,2,1,1203258,2013
05/17/2013,home,11320,400,Massachusetts,9,True,3,6,-3,loss,3 - 6,679842,690,1,0,2.1,2,1,1,0,3,0,9,9,0,0,0,0,0,0,0,2,1,0,0,33,3,1,0,0,0,2,1,1203258,2013
