App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,1.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,2,0,02/15/2015,neutral,12080,754,Washington St.,9,True,12,0,12,win,405514,669,1544068,2015
0,0,1.0,1,1,0,0,1,0,5,4,0,0,0,0,0,1,0,0,0,0,0,12,0,2,0,0,0,2,1,02/21/2015,neutral,12080,32,Little Rock,9,True,17,4,13,win,406113,669,1544068,2015
0,0,1.1,2,1,1,0,0,0,6,5,1,0,0,0,0,0,0,2,2,0,1,21,1,3,0,0,0,3,0,02/25/2015,away,12080,521,Oklahoma St.,9,True,2,7,-5,loss,406443,669,1544068,2015
0,0,0.2,3,1,1,0,0,0,4,4,0,0,1,0,0,0,0,1,1,0,0,11,0,1,0,0,0,3,0,03/01/2015,neutral,12080,1004,Central Ark.,9,True,4,6,-2,loss,407173,669,1544068,2015
0,0,1.1,2,1,0,1,2,0,8,7,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,1,0,3,0,03/06/2015,neutral,12080,810,Wright St.,10,True,2,3,-1,loss,407774,669,1544068,2015
0,0,0.1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,03/07/2015,neutral,12080,810,Wright St.,9,True,3,2,1,win,408126,669,1544068,2015
0,1,4.2,6,0,0,1,1,0,22,19,1,0,0,0,0,2,0,0,0,0,0,72,6,6,0,0,0,1,0,03/11/2015,away,12080,30,Arkansas St.,9,True,6,3,3,win,409103,669,1544068,2015
0,1,5.0,5,3,3,1,2,0,23,19,0,0,1,0,0,2,0,0,0,1,0,76,12,1,0,0,0,1,0,03/15/2015,away,12080,327,Kansas St.,9,True,10,7,3,win,410208,669,1544068,2015
0,1,7.0,4,2,2,4,7,0,28,24,1,0,0,0,0,0,0,0,0,0,0,98,7,6,0,0,0,1,0,03/21/2015,home,12080,305,Indiana St.,9,True,2,3,-1,loss,411636,669,1544068,2015
0,1,8.2,6,1,1,3,6,0,34,31,1,0,0,1,0,0,0,0,0,0,0,0,17,2,1,0,0,1,1,03/29/2015,away,12080,316,Jacksonville,9,True,8,1,7,win,413975,669,1544068,2015
0,1,5.0,7,3,3,2,6,0,22,20,0,1,1,1,0,0,0,0,0,0,0,102,5,2,0,0,0,1,1,04/04/2015,home,12080,1045,DBU,13,True,4,5,-1,loss,415723,669,1544068,2015
0,1,8.0,5,0,0,3,6,0,30,27,1,0,0,1,0,0,0,0,0,0,0,0,12,4,1,0,0,1,0,04/12/2015,away,12080,219,Evansville,9,True,2,0,2,win,418104,669,1544068,2015
0,1,6.0,8,4,4,2,5,0,28,24,1,0,0,0,0,1,0,0,0,1,0,92,9,3,1,0,0,1,1,04/19/2015,home,12080,695,UT Martin,9,True,5,4,1,win,420384,669,1544068,2015
0,1,5.2,3,3,3,4,2,0,24,19,0,0,2,1,0,1,0,0,0,0,0,90,11,3,0,0,0,1,1,04/26/2015,away,12080,299,Illinois St.,9,True,7,4,3,win,422328,669,1544068,2015
0,1,5.1,4,0,0,3,5,0,23,18,1,0,0,1,0,1,0,0,0,1,0,102,6,4,0,0,0,1,2,05/03/2015,home,12080,782,Wichita St.,10,True,3,2,1,win,424236,669,1544068,2015
0,1,1.2,5,3,3,2,0,0,11,9,0,0,0,0,1,0,0,0,0,0,0,46,3,1,0,0,0,1,0,05/10/2015,away,12080,659,Southern Ill.,9,True,5,3,2,win,425226,669,1544068,2015
0,1,7.0,4,2,2,1,5,0,27,25,2,1,0,0,0,0,0,0,0,1,0,104,5,11,1,0,0,1,0,05/15/2015,home,12080,72,Bradley,9,True,9,2,7,win,425561,669,1544068,2015
0,1,5.2,9,3,3,4,4,0,29,25,0,0,0,0,0,0,0,0,0,0,0,113,7,5,1,0,0,1,0,05/22/2015,away,12080,782,Wichita St.,9,True,6,4,2,win,426207,669,1544068,2015
0,1,7.0,3,2,2,1,5,0,25,24,0,0,0,0,0,0,0,0,0,0,0,94,11,5,1,0,0,1,2,05/31/2015,home,12080,312,Iowa,9,True,3,2,1,win,426392,669,1544068,2015
0,1,6.0,6,3,3,2,3,0,26,23,0,0,0,0,0,0,0,0,0,0,1,0,9,6,0,1,0,1,2,06/07/2015,home,12080,31,Arkansas,9,True,2,3,-1,loss,426440,669,1544068,2015
