date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/20/2016,home,12360,742,Virginia Tech,9,True,5,4,1,win,5 - 4,292684,141,0,0,1.0,0.0,2,2,2,2,2,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1657123,2016
02/26/2016,home,12360,639,Siena,9,True,14,2,12,win,14 - 2,293537,141,0,0,2.0,0.0,1,0,0,1,4,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1657123,2016
03/01/2016,home,12360,648,South Carolina,9,True,3,6,-3,loss,3 - 6,294694,141,0,1,2.2,0.0,7,4,4,3,1,0,17,14,3,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,0,1,0,1657123,2016
03/06/2016,home,12360,1014,Col. of Charleston,9,True,9,12,-3,loss,9 - 12,295784,141,0,0,2.0,0.0,0,0,0,0,1,0,6,5,0,0,0,0,0,1,0,0,0,0,0,22,3,1,0,0,0,9,0,1657123,2016
03/09/2016,home,12360,575,Richmond,9,True,6,2,4,win,6 - 2,296527,141,0,0,3.0,0.0,3,0,0,0,0,0,12,12,1,0,0,0,0,0,0,0,0,0,0,47,2,7,1,0,0,2,0,1657123,2016
03/13/2016,away,12360,1068,Elon,9,True,3,8,-5,loss,3 - 8,297748,141,0,1,4.0,0.0,4,0,0,1,6,0,15,14,2,0,0,0,0,0,0,0,0,0,0,65,2,2,0,0,0,1,2,1657123,2016
03/20/2016,home,12360,1320,Presbyterian,9,True,7,2,5,win,7 - 2,299574,141,0,1,5.1,0.0,4,1,1,1,4,0,21,20,0,0,0,1,0,0,1,0,0,0,0,80,1,11,1,0,0,1,2,1657123,2016
03/27/2016,away,12360,741,VMI,9,True,4,2,2,win,4 - 2,301638,141,0,1,6.0,0.0,4,2,2,2,5,0,24,22,1,0,0,1,1,0,0,0,0,0,0,106,3,10,1,0,0,1,1,1657123,2016
04/03/2016,away,12360,678,Stetson,9,True,5,11,-6,loss,5 - 11,303237,141,0,1,1.1,0.0,5,5,1,1,1,0,11,10,0,0,0,0,0,0,0,0,0,0,0,42,1,2,0,1,0,1,0,1657123,2016
04/10/2016,home,12360,459,UNC Greensboro,9,True,4,7,-3,loss,4 - 7,304804,141,0,1,5.1,0.0,6,4,4,3,3,0,24,21,2,0,0,0,1,0,0,0,0,0,0,100,3,9,0,1,0,1,0,1657123,2016
04/17/2016,away,12360,2915,Wofford,9,True,8,10,-2,loss,8 - 10,307035,141,0,1,6.0,0.0,7,4,4,2,3,0,27,24,1,2,0,0,2,0,0,0,0,0,1,104,7,7,0,0,0,1,1,1657123,2016
04/24/2016,home,12360,769,Western Caro.,9,True,6,4,2,win,6 - 4,309125,141,0,1,5.0,0.0,5,2,2,4,2,0,23,18,1,0,0,0,0,1,0,0,0,0,0,86,2,9,1,0,0,1,0,1657123,2016
05/01/2016,home,12360,244,Furman,9,True,1,4,-3,loss,1 - 4,310965,141,0,1,6.0,0.0,6,4,3,0,2,0,25,25,1,0,0,1,1,0,0,0,0,0,0,83,9,7,0,1,0,1,1,1657123,2016
05/08/2016,away,12360,406,Mercer,9,True,9,8,1,win,9 - 8,312589,141,0,1,5.0,0.0,6,3,3,1,3,0,20,19,2,0,0,1,0,0,0,0,0,0,0,84,5,5,0,0,0,1,0,1657123,2016
05/14/2016,home,12360,625,Samford,9,True,4,5,-1,loss,4 - 5,313106,141,0,1,4.2,0.0,6,2,2,1,4,0,21,19,0,0,0,0,0,1,0,0,0,0,0,76,4,5,0,0,0,1,1,1657123,2016
05/20/2016,away,12360,198,ETSU,9,True,9,10,-1,loss,9 - 10,313786,141,0,1,4.0,0.0,3,2,2,1,0,0,16,15,0,0,0,1,1,0,0,0,0,0,0,64,3,9,0,0,0,1,0,1657123,2016
05/25/2016,home,12360,406,Mercer,9,True,1,13,-12,loss,1 - 13,314205,141,0,1,3.1,0.0,7,7,6,0,3,0,18,17,0,0,0,3,0,1,0,0,0,0,0,60,4,2,0,1,0,1,1,1657123,2016
